,artista,oyentes,reproducciones,bio_resumen,pais
10,Embrace,663132,8808046,"Embrace is the name of more than one artist:
1) an alternative rock band from Brighouse, West Yorkshire, England
2) a short-lived post-hardcore band from Washington, D.C., USA
3) a collaboration between dutch trance producers Ferry Corsten and Raz Nitzan
4) a Gothic Metal band from Toronto, Canada

1) Embrace is a five-piece alternative rock band from Brighouse, West Yorkshire, England, consisting of brothers Danny McNamara (singer) and Richard McNamara (guitarist) as well as Steve Firth (bassist) <a href=""https://www.last.fm/music/Embrace"">Read more on Last.fm</a>",Netherlands
11,Bushido,262008,15248031,"There is more than one artist with this name: a German rapper, a Latin pop act, a post-punk band and a prog rock band from Australia.

1) German rapper Anis Ferchichi who was born on September 28, 1978 in Bonn. His rap is strongly influenced by French Gangsta Rap. He is also known as Sonny Black.
Early Life:
Bushido has a Tunisian father and a German mother. However, he was raised in Berlin by his mother and never got to know his father.

Musical Career: <a href=""https://www.last.fm/music/Bushido"">Read more on Last.fm</a>",France
12,Divididos,129785,3756470,"Divididos (""Divided"") is a rock band from Argentina with a significant place in the history of Argentine rock. Formed in 1988 after the death of Luca Prodan and the consequent dissolution of Sumo, Ricardo Mollo (vocals, guitar) and Diego Arnedo (bass guitar) joined drummer Gustavo Collado to form a band named ""La División"" (The Division), which would be later called ""Divididos"". (Another band emerged from the ashes of Sumo: Las Pelotas.)

La Aplanadora del Rock is known for mixing rock with Argentine folk music, and hard-to-get lyrics. <a href=""https://www.last.fm/music/Divididos"">Read more on Last.fm</a>",
13,Queens of the Stone Age,3623476,244886720,"Queens of the Stone Age is a rock band from Palm Desert, California, United States. The band is frequently labeled stoner rock, although they reject the label. They developed a style of riff-oriented, heavy music which the band's founder and mastermind Josh Homme described as ""robot rock"", saying that he ""wanted to create a heavy sound based on a solid jam, just pound it into your head"". Since then, their sound has evolved to incorporate a variety of different styles and influences. <a href=""https://www.last.fm/music/Queens+of+the+Stone+Age"">Read more on Last.fm</a>",
14,Indio Solari,28009,1299564,"Indio Solari (born Carlos Solari, c. 1949) is an Argentine singer and musician. He was leader of Patricio Rey y sus Redonditos de Ricota between 1976 and 2002. He got separated from Redondos and then started his first solo work in 2004 called El Tesoro de los Inocentes (Bingo Fuel)), together with his backing band Los Fundamentalistas del Aire Acondicionado. In 2007 he released his second solo album Porco Rex.  <a href=""https://www.last.fm/music/Indio+Solari"">Read more on Last.fm</a>",
15,La Vela Puerca,139843,4257844,"La Vela Puerca is ""Uruguay's most famous ska-rock-band"". It was founded 1995 in Montevideo.

Its founders were Sebastián Teysera (lead vocals, frontman and main songwriter), Nicolás Lieutier (bass guitar) and Santiago Butler (guitar) - all three are still part of the band today. The band's first appearance as La Vela Puerca was in a montevidean street party in December 24, 1995. By then, several new members had already joined in. In 1996, frontman Sebastián Teysera presented a demo tape to a band contest. <a href=""https://www.last.fm/music/La+Vela+Puerca"">Read more on Last.fm</a>",
16,A Perfect Circle,2146828,111049054,"A Perfect Circle is an American alternative rock band formed in Los Angeles, California in 1999 by guitarist Billy Howerdel and Tool vocalist Maynard James Keenan. A Perfect Circle has released four studio albums, the first three during the early 2000s: Mer de Noms, their debut album in 2000, and followed up by Thirteenth Step in 2003; then in 2004, Emotive—an album of radically re-worked cover songs. Shortly after Emotive's release, the band went on hiatus; Keenan returned to Tool and started up solo work under the band name Puscifer <a href=""https://www.last.fm/music/A+Perfect+Circle"">Read more on Last.fm</a>",United States
17,Silver Mt. Zion,186773,3229690,"A Silver Mt. Zion is a band formed in 1999, in Montreal, Canada, by Godspeed You! Black Emperor musicians Efrim Menuck, Sophie Trudeau and Thierry Amar. According to an interview with VPRO Radio in The Netherlands, originally the project was for Efrim to learn how to score music, but the idea was soon abandoned as Efrim decided that he preferred music not to be defined by rules, preferring simply what sounds best. Despite this, he continued the project <a href=""https://www.last.fm/music/+noredirect/Silver+Mt.+Zion"">Read more on Last.fm</a>",
18,Nirvana,7280628,549762503,"There are multiple artists tracked as ""Nirvana"" on Last.fm. Following are six, listed in order of prominence:

1) Nirvana was a popular and highly influential American grunge band. The band formed in Aberdeen, Washington in 1987, and it was part of the Seattle grunge scene of the late 80s, alongside bands like Pearl Jam, Alice in Chains and Soundgarden. As their popularity rose, alternative rock became a dominant genre on American and Canadian radio and music television during the early-to-mid '90s. <a href=""https://www.last.fm/music/Nirvana"">Read more on Last.fm</a>",Canada
19,Alfredo Pardo- Spanish Pop,1667,6491,biografia no encontrada,
20,Benito Kamelas,16777,360067,"The spanish rock group BENITO KAMELAS se caracteriza por hacer un Rock fresco, cotidiano y divertido pero lo mejor es su puesta en escena. En Diciembre de 1997 graban un Cd con seis cortes (QUE MÁS DA)y empiezan a moverlo sin ningún tipo de apoyo de ninguna compañía, promocionandolo en directo por capitales como Teruel, Zaragoza, Córdoba, Tarragona, Castellón, y Alicante.
Asombrados por haber vendido 1.500 copias (mano en mano y algún garito) <a href=""https://www.last.fm/music/Benito+Kamelas"">Read more on Last.fm</a>",Spain
21,Soda Stereo,688011,46533412,"Soda Stereo was a rock power trio formed in Buenos Aires, Argentina in 1982. Consisting of guitarist and vocalist Gustavo Cerati, bassist Zeta Bosio and drummer Charly Alberti, the band established what would become the template for many other popular Spanish-speaking pop and rock music groups: Clever, often mysterious lyrics, pleasing musical arrangements and an elaborate and glamorous aesthetic image.

Though nominally thought of as a new wave or alternative rock group <a href=""https://www.last.fm/music/Soda+Stereo"">Read more on Last.fm</a>",
22,Mogwai,1673333,90836927,"Mogwai is a Scottish post-rock/instrumental band from Glasgow formed in 1995. 
They compose lengthy, mostly instrumental guitar-based pieces in the style of post-rock, usually focused around the elaboration of a single theme, and are known traditionally for their quiet/loud dynamic, defined bass riffs, and an eminent ambient sound, sometimes dark and sometimes grand. Although frequently referred to as post-rock, the band have revealed in interviews that they despise this categorization <a href=""https://www.last.fm/music/Mogwai"">Read more on Last.fm</a>",
23,HALCALI,291522,6302179,"HALCALI is a Japanese rap-pop duo from Tokyo's Meguro district. Its two members, Haruka (Halca) and Yukari (Yucali) also comprise the group's name; a concatenation of ""Haru"" and ""kari"". Haruka, born April 21, 1988 and Yukari, born July 18, 1987 originally met as finalists at a hip-hop audition held in a local school in the Meguro district, where both were born. 

At their inception, the girls were produced by Oshare Track Factory (OTF) comprised of producing artists Rip Slyme <a href=""https://www.last.fm/music/HALCALI"">Read more on Last.fm</a>",Japan
24,Breaking Benjamin,2796506,129779018,"Breaking Benjamin is an alternative metal band Formed in Wilkes-Barre, Pennsylvania, USA in 1998 by vocalist Benjamin Burnley and drummer Jeremy Hummel, Breaking Benjamin quickly garnered a strong local following. 

1st Studio Album (2002) - Saturate
The band signed to Hollywood Records in 2001 after the success of an independently-released, self-titled EP, which sold all 2,000 copies that were manufactured. Hollywood Records released their full-length, major-label debut, Saturate, on August 27, 2002. <a href=""https://www.last.fm/music/Breaking+Benjamin"">Read more on Last.fm</a>",
25,The Smashing Pumpkins,4372936,241159678,"The Smashing Pumpkins is an American alternative rock band from Chicago. The band was formed in 1988 by Billy Corgan and James Iha, with bassist D'arcy Wretzky  and drummer Jimmy Chamberlin joining shortly after. Despite going through many lineup changes, the current lineup is identical to the original, with the exception of Wretzky, who would end up leaving the band just before their initial breakup in 2000.

Disavowing the punk rock roots of many of their alt-rock contemporaries <a href=""https://www.last.fm/music/The+Smashing+Pumpkins"">Read more on Last.fm</a>",United States
26,Mark Knopfler,820691,24109823,"Mark Freuder Knopfler, OBE (born 12 August 1949) is a British singer, guitarist, composer, songwriter, record producer, and film score composer. He was the lead guitarist, lead singer, and songwriter for the rock band Dire Straits, which he co-founded with his younger brother, David Knopfler, in 1977. He was born in Glasgow but raised near Newcastle upon Tyne, England.

Since Dire Straits disbanded in 1995, Knopfler has recorded and produced nine solo albums and, as with his previous band, produced many hit songs. <a href=""https://www.last.fm/music/Mark+Knopfler"">Read more on Last.fm</a>",United Kingdom
27,O'Funk'illo,39154,635346,"O'funkillo es un grupo musical sevillano de funky (""Funky andaluz embrutessío"" según los propios miembros del grupo). Su nombre proviene de mezclar la expresión sevillana ""ojú killo"" con el funk, principal estilo de la banda. Aparte del funk, O'funk'illo cuenta con una gran variedad de estilos en sus composiciones, desde el metal al flamenco, pasando por el reggae.

Los comienzos de O'funk'illo se remontan al año 1997, cuando actuaban bajo el nombre de Motherfunkers, principalmente haciendo versiones. <a href=""https://www.last.fm/music/O%27Funk%27illo"">Read more on Last.fm</a>",
28,La Mosca,75029,456367,"Si bien la formación actual del grupo se consolida en marzo de 1995, la historia de la banda se remonta a comienzos de los noventa con ""La Reggae & Roll Band"", quienes hacían covers y algunos temas propios en la zona de Ramallo. Simultáneamente existían otras bandas entre las que se destacaba ""Damas gratis"" liderada por Guillermo Novellis.
Tras la disolución de ""Damas gratis"", Fernando Castro, que era el baterista y uno de los fundadores (de La Reggae)  <a href=""https://www.last.fm/music/+noredirect/La+Mosca"">Read more on Last.fm</a>",
29,Rage Against the Machine,4144297,157574860,"Rage Against the Machine was an American rock band from Los Angeles, California. Formed in 1991, the group consisted of vocalist Zack de la Rocha, bassist and backing vocalist Tim Commerford, guitarist Tom Morello, and drummer Brad Wilk. Their songs express revolutionary left-wing political views. As of 2010, they had sold over 16 million records worldwide. In 2023, the band was inducted into the Rock and Roll Hall of Fame.

Rage Against the Machine released its eponymous debut album in 1992 to commercial and critical success <a href=""https://www.last.fm/music/Rage+Against+the+Machine"">Read more on Last.fm</a>",United States
30,The Rolling Stones,5668767,264301481,"The Rolling Stones is an English rock band formed in London in 1962. Active for six decades, they are one of the most popular and enduring bands of the rock era. In the early 1960s, the Rolling Stones pioneered the gritty, rhythmically driven sound that came to define hard rock. Their first stable line-up consisted of vocalist Mick Jagger, multi-instrumentalist Brian Jones, guitarist Keith Richards, bassist Bill Wyman, and drummer Charlie Watts. During their formative years <a href=""https://www.last.fm/music/The+Rolling+Stones"">Read more on Last.fm</a>",
31,Tool,2515538,218558214,"Tool is an American alternative metal/progressive metal band from Los Angeles. Formed in 1990, the group's line-up includes vocalist Maynard James Keenan, guitarist Adam Jones and drummer Danny Carey. Justin Chancellor has been the band's bassist since 1995, replacing their original bassist Paul D'Amour. Tool has won four Grammy Awards, performed worldwide tours, and produced albums topping the charts in several countries.

To date, the band has released five studio albums, one EP and one box set. <a href=""https://www.last.fm/music/Tool"">Read more on Last.fm</a>",United States
32,Vilma Palma E Vampiros,166727,2181999,"Vilma Palma e Vampiros is a rock band from Rosario, Argentina, formed during 1991. 

Oficial Website
http://www.vilmapalma.com
http://twitter.com/#!/VilmaPalma
http://www.facebook.com/vilmapalmaevampiros <a href=""https://www.last.fm/music/Vilma+Palma+E+Vampiros"">Read more on Last.fm</a>",
33,Oasis,5677135,307935811,"Oasis is an English alternative rock band formed in Manchester in 1991. Originally known as the Rain, the group initially consisted of Liam Gallagher (lead vocals, tambourine), Paul Arthurs (guitar), Paul McGuigan (bass guitar) and Tony McCarroll (drums). Liam's older brother Noel (lead guitar, vocals) later joined as a fifth member, finalising the group's core lineup. During the course of their existence, they had various lineup changes, with the Gallagher brothers remaining the only staple members. <a href=""https://www.last.fm/music/Oasis"">Read more on Last.fm</a>",
34,P.O.D.,1744317,38332848,"Payable on Death (abbreviated as P.O.D.) is an American nu metal band from San Diego, California, formed in 1992. The band's line-up consists of vocalist Sonny Sandoval, drummer Wuv Bernardo, guitarist Marcos Curiel, and bassist Traa Daniels. They have released six major label studio albums along with two independent albums and have sold over 12 million records worldwide. Over the course of their career, the band have also received three Grammy Award nominations, contributed to numerous motion picture soundtracks and toured internationally. <a href=""https://www.last.fm/music/P.O.D."">Read more on Last.fm</a>",United States
35,Explosions in the Sky,1442568,75485831,"Explosions In The Sky is an American instrumental  post-rock band, which formed in Austin, Texas in 1999. Munaf Rayani, Mark Smith, and Michael James had just moved to Austin from Midland, Texas, and drummer Chris Hrasky had just moved to Austin from Rockford, Illinois.

The band quickly gained a reputation for their live shows even amongst other established local bands such as Lift To Experience.  They also garnered a small amount of media attention as a result of their second album Those Who Tell the Truth Shall Die <a href=""https://www.last.fm/music/Explosions+in+the+Sky"">Read more on Last.fm</a>",United States
36,Interpol,3124940,196319850,"Interpol is an American post-punk band formed in Manhattan, New York, in 1997. They played an important part in the post-punk revival of the 2000s. The band consists of Paul Banks (vocals and guitar), Sam Fogarino (drums), and Daniel Kessler (guitar and backing vocals).

The band's sound is generally a mix of staccato bass and rhythmic, harmonized guitar, with a snare heavy mix, drawing comparisons to post-punk bands such as Joy Division and The Chameleons. <a href=""https://www.last.fm/music/Interpol"">Read more on Last.fm</a>",United States
37,Café Tacvba,385948,13445853,"Café Tacvba is a band from the Lomas de Sotelo neighborhood in Mexico City, Mexico.

Their musical style covers a wide variety of genres, though it is most commonly labeled as Rock en Español. Their music has been heavily influenced by Mexico's indigenous population and folk music traditions, most notable the Jarocho style of the state of Veracruz, but also by punk and electronic music and other bands in the Mexico City scene. Perhaps the most distinctive feature of their music is Albarrán's nasal voice <a href=""https://www.last.fm/music/+noredirect/Caf%C3%A9+Tacvba"">Read more on Last.fm</a>",
38,Puddle of Mudd,1659840,25854009,"Puddle of Mudd is an American rock band. They achieved success on rock radio and some success in the mainstream, and their major-label debut Come Clean has sold over 5 million copies. To date the band has sold over 7 million albums, and have had a string of #1 mainstream rock singles in the United States. The original incarnation of this band was formed in 1992 in Kansas City, Missouri. In their hometown, they released their debut album ""Stuck"" in 1993, followed by ""Abrasive"" in 1996, to little commercial success. <a href=""https://www.last.fm/music/Puddle+of+Mudd"">Read more on Last.fm</a>",United States
39,Weezer,5186966,275154586,"Weezer is an American alternative rock band. Formed in 1992, they have released 15 full length albums, 1 cover album, six EPs, and a DVD. Their latest album, titled 'Van Weezer', came out on May 7th, 2021, Although, they released 4 EPs in 2022, known as SZNZ. They've sold over ten million records in the United States to date, and 35 million worldwide. They play music influenced by alternative bands and power pop artists among others.

Weezer started in Los Angeles <a href=""https://www.last.fm/music/Weezer"">Read more on Last.fm</a>",United States
40,Los Enanitos Verdes,418486,10382898,"The band started in 1984, with Marciano Cantero (bass guitar, keyboards and vocals), Felipe Staiti (guitar) and Daniel Piccolo drums. That same year, they performed throughout the Cuyo region. Later they traveled to Buenos Aires to record a demo, with unusable results that were never released. In spite of this failure, they continued doing shows in Mendoza and in Buenos Aires.

In 1984 the band added two new members: Sergio Embroni (guitar and vocals) and Tito Dávila (keyboard). <a href=""https://www.last.fm/music/+noredirect/Los+Enanitos+Verdes"">Read more on Last.fm</a>",
41,Air Supply,931398,11724929,"Air Supply is an Australian soft rock duo, consisting of Graham Russell as guitarist and singer-songwriter and Russell Hitchcock as lead vocalist. They had a succession of hits worldwide, including eight Top Ten hits in the United States, in the early 1980s. They formed in Melbourne, Australia in 1975 and have included various accompanying musicians and singers.

The two met in May 1975 while performing in the Australian production of the Andrew Lloyd Webber/Tim Rice musical, Jesus Christ Superstar. <a href=""https://www.last.fm/music/Air+Supply"">Read more on Last.fm</a>",Australia
42,Los Inhumanos,23515,126637,"Los Inhumanos is a pop band formed in 1980 in Valencia. Their concerts style was famous with a lot of funny hits, humoristical pop songs .
 <a href=""https://www.last.fm/music/Los+Inhumanos"">Read more on Last.fm</a>",
43,Titãs,465618,14149452,"Titãs is one of the most successful rock bands in Brazil, along with Legião Urbana, Os Paralamas do Sucesso and Barão Vermelho. The best known formation of the band was the one from the album ""Cabeça Dinossauro"" (Dinosaurhead): Nando Reis, Branco Mello, Marcelo Fromer, Arnaldo Antunes, Tony Bellotto, Paulo Miklos, Charles Gavin and Sérgio Britto. Out of these, only Mello, Bellotto, and Britto remain to this day.

History

* Formation and first works <a href=""https://www.last.fm/music/+noredirect/Tit%C3%A3s"">Read more on Last.fm</a>",
44,Jarabe de Palo,563054,9368286,"Jarabe de Palo (literally ""Wooden Stick Syrup"" or, after the Spanish expression ""dar un jarabe de palo"", i.e. a ""hell of a beating""), was a Spanish rock band founded in 1996. The group was led by singer, songwriter, and guitarist Pau Donés, whose death in 2020 caused the band to break up.

Pau Donés, born and raised in Barcelona, worked for various groups before being able to take on his current project, Jarabe de Palo. He began at age 15 with his brother Marc, with whom he formed a group known as J. <a href=""https://www.last.fm/music/Jarabe+de+Palo"">Read more on Last.fm</a>",Spain
45,Crossfade,1158940,18165860,"There are three bands with the name Crossfade.
1. An American post-grunge band
2. A Swedish pop rock band
3. An American technical death metal/new york hardcore band

1. Crossfade is an American rock band from Columbia, South Carolina. Their current members are Ed Sloan on lead vocals and guitar, Les Hall on Lead guitar, keyboard, and backing vocals, and Mitch James on backing vocals and bass. Since their formation in 1999 Crossfade has released two studio albums - their platinum selling self-titled debut album in 2004 <a href=""https://www.last.fm/music/Crossfade"">Read more on Last.fm</a>",United States
46,Juanes,1160763,20663936,"Juan Esteban Aristizábal Vásquez (born August 9, 1972), best known as Juanes, is a rock musician from Medellín, Colombia. When he was younger, his father started calling him Juanes, rather than Juan, a contraction of his two first names Juan and Esteban. As his friends grew to know him by this name, he chose to keep it for his musical career, which started when he, Andrés García, Fernando ""Toby"" Tobón and José David Lopera, formed the rock band Ekhymosis in 1988. <a href=""https://www.last.fm/music/Juanes"">Read more on Last.fm</a>",
47,The Cranberries,4514610,146603235,"The Cranberries was an Irish rock band formed in Limerick in 1989. The group consisted of lead vocalist and guitarist Dolores O’Riordan, guitarist Noel Hogan, bassist Mike Hogan, and drummer Fergal Lawler. O’Riordan joined the band in 1990, replacing founding member Niall Quinn, and the group’s name was shortened from The Cranberry Saw Us to The Cranberries following her arrival. Although primarily classified as an alternative rock band, their music incorporated elements of indie rock <a href=""https://www.last.fm/music/The+Cranberries"">Read more on Last.fm</a>",Ireland
48,Andrés Calamaro,436455,16240458,"Andres Calamaro is one of the most popular Argentinian pop-rock songwriters. A songs craftsman, as he likes to consider himself.

Born Aug 22, 1961 in Buenos Aires, Argentina, he began his professional musical career at the age of 17 playing keyboards in Raíces.
In 1981 he incorporated to one of the main bands of the Argentinean '80s rock scene: Los Abuelos de la Nada. Although the band was led by the brilliant Miguel Abuelo, Calamaro composed most of the band's hits <a href=""https://www.last.fm/music/+noredirect/Andr%C3%A9s+Calamaro"">Read more on Last.fm</a>",Argentina
49,Michael McDonald,428594,3778822,"Michael McDonald, born February 12, 1952, in St. Louis, Missouri, is an American R&B and soul singer known for his distinctive husky baritone voice, often described as ""blue-eyed soul."" During his early years, he played in several local bands while attending McCluer High School in Ferguson, Missouri. After performing with the group Blue, he moved to Los Angeles in 1970. He gained recognition as a backing vocalist and keyboardist for Steely Dan, contributing to their albums until the 1980 release of Gaucho. <a href=""https://www.last.fm/music/Michael+McDonald"">Read more on Last.fm</a>",United States
50,Papa Roach,3589491,123883122,"Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.

After two EPs, James left and was replaced by Tobin Esperance. The band independently released two more EPs before signing with DreamWorks Records in 1999, subsequently releasing the triple-platinum Infest in 2000, the gold album Lovehatetragedy in 2002 and the platinum album Getting Away with Murder in 2004. <a href=""https://www.last.fm/music/Papa+Roach"">Read more on Last.fm</a>",United States
51,Dobie Gray,248113,1377615,"Dobie Gray (July 26, 1940 - December 6th 2011) was an African American singer and songwriter, whose musical career spanned soul, country, pop and musical theater. His hit records included ""The 'In' Crowd"" in 1965, and ""Drift Away"", which was one of the biggest hits of 1973, sold over one million copies, and remains a staple of radio airplay.

Gray was born near Houston, Texas, by his own account in Simonton although some sources suggest the nearby town of Brookshire. <a href=""https://www.last.fm/music/Dobie+Gray"">Read more on Last.fm</a>",United States
52,Bersuit Vergarabat,241717,5906359,"Bersuit Vergarabat, formed in 1989 in Buenos Aires, Argentina, is one of the most important Argentine rock bands of the 1990s/2000s.

After 2 albums of underground transgressive rock, the band started mixing it with Latin American rhythms such a cumbia, chacarera, candombe and cuartetazo. The lyrics, though, remained acid and critical of political and social problems.

The current line-up is: Gustavo Cordera (voice), Juan Subirá (keyboards and voice) <a href=""https://www.last.fm/music/Bersuit+Vergarabat"">Read more on Last.fm</a>",United States
53,Charlie Brown Jr.,719863,67338712,"Charlie Brown Jr. was a Brazilian alternative rock band from Santos, São Paulo. The group was popular with disadvantaged youth because of their relatable commentary about social issues and the frequent use of skate punk and hip hop slang in their songs. The band won two Latin Grammy Awards and was one of the most-popular Brazilian bands of the late 1990s to mid-2000s. <a href=""https://www.last.fm/music/Charlie+Brown+Jr."">Read more on Last.fm</a>",Brazil
54,Stone Sour,2024178,68225064,"Stone Sour was an American rock band formed in Des Moines, Iowa, in 1992. The band performed for five years before disbanding in 1997. They reunited in 2000 and since 2015, the group has consisted of Corey Taylor (lead vocals, guitar), Josh Rand (guitar), Christian Martucci (guitar), Johny Chow (bass) and Roy Mayorga (drums). Longtime members Joel Ekman (drums, percussion) and Shawn Economaki (bass guitar) left the band in 2006 and 2011, respectively. Former lead guitarist Jim Root left in 2014. <a href=""https://www.last.fm/music/Stone+Sour"">Read more on Last.fm</a>",United States
55,Elefante,223707,3212510,"There are several artists with the same or similar names:  1. Elefante from Uruguay, 2. Elefante from Mexico, 3. Elephante, an American DJ (redirected).

1) Elefante was one of Uruguay's leading rock bands in the 90's, formed in Montevideo. The original lineup consisted of STELLA MARIS (voice), BESTIA (guitar), HARRY (bass), CHONIUK (drums), and MANECO (guitar and samplers).
Elefante was one of the most significative bands from that decade, mixing hip-hop, nü-metal and electronica in their music. <a href=""https://www.last.fm/music/Elefante"">Read more on Last.fm</a>",United States
56,Santana,2747906,50601445,"Santana is a Latin music and rock band formed in San Francisco, California in 1966 by Mexican-American guitarist Carlos Santana. The band came to public attention with their performance of ""Soul Sacrifice"" at Woodstock in 1969. This exposure helped propel their first album, also named Santana, into a hit, followed in the next two years by Abraxas and Santana III. Lineup changes were common. Carlos Santana's increasing involvement with guru Sri Chinmoy took the band into more esoteric music, though it never lost its Latin influence. <a href=""https://www.last.fm/music/Santana"">Read more on Last.fm</a>",
57,The Black Keys,3236130,192909650,"The Black Keys are an alternative rock  group from Akron, Ohio, United States which formed in 2001, consisting of singer and guitarist Dan Auerbach and drummer Patrick Carney. The band name was inspired by a schizophrenic artist and friend in Akron, who used the term ""black keys"" to describe things he disliked or people he did not trust. The Black Keys have roots in traditional blues and psychedelic rock stylings.

They released their first album, The Big Come Up, in 2002, followed by Thickfreakness in 2003, and Rubber Factory in 2004. <a href=""https://www.last.fm/music/The+Black+Keys"">Read more on Last.fm</a>",
