artista,oyentes,reproducciones,bio_resumen,pais
Bacilos,358611,4301899,"Bacilos is a latin music group based in Miami, Florida, United States.

The band was formed in 1995 by three students of the University of Miami and was named after the Spanish word for bacillus. Originally a quartet, the band drew influences from Cuban folk singer Silvio Rodríguez and Argentinian rock singer Fito Páez. The band eventually became a trio consisting of Colombian singer and guitarist Jorge Villamizar, bassist André Lopes and percussionist José Javier Freire before releasing an independent album Madera in 1999. <a href=""https://www.last.fm/music/Bacilos"">Read more on Last.fm</a>",Argentina
Salsa Celtica,23762,193695,"Salsa Celtica - an 11 piece world music fusion band coming from Edinburgh, Scotland, formed in 1995. They have released four studio albums so far. <a href=""https://www.last.fm/music/Salsa+Celtica"">Read more on Last.fm</a>",
Los Tigres Del Norte,287874,6205860,"Mexican Norteño Grammy-winning legendary group, best known for (re)starting the ""corrido"" genre in the late 20th Century, as a milestone of its latest incarnation, known on one side as ""narcocorrido"" (ballads on smugglers) and on the other, the new brew of socially-committed lyrics that have succeeded in being truly popular.

Members:
· Jorge Hernández: director, lead vocals and accordion 
· Hernán Hernández: electric bass, vocals
· Eduardo Hernández: accordion, saxophone, 6-string bass, vocals <a href=""https://www.last.fm/music/Los+Tigres+Del+Norte"">Read more on Last.fm</a>",Mexico
Cubismo,13048,83541,"Cubismo is a group that plays energetic dance music based on afro-Cuban rhythms but in its own unique and recognizable style. Besides salsa and Latin-jazz Cubismo has also been influenced by the elements of jazz, hip-hop, funk and rock music. The band members come from Croatia , Slovenia , Cuba and Ecuador . Cubismo is the leading group for such type of music in Croatia and this part of Europe .
The band has so far released 6 CDs, the majority of which has been internationally distributed. <a href=""https://www.last.fm/music/Cubismo"">Read more on Last.fm</a>",
Rios De Gloria,1792,13944,"Rios De Gloria is a Spanish Pop Dance band consisting of Gloria Gómez and Javier Rios, who was later replaced by Michel Lara.
This project released the albums ""Rios De Gloria"", ""Dos"" and ""Desafiame"". <a href=""https://www.last.fm/music/Rios+De+Gloria"">Read more on Last.fm</a>",Spain
Jimmy Bosch,41465,172809,"Jimmy Bosch, who was born to parents from Arecibo, Puerto Rico, was raised in Hoboken, NJ, lived in the Bronx, NY for twenty years, played in Salsa bands from the age of 13, and continuously re-invents the music of a culture with roots in many parts of the world. Tropical Music with a New York edge is unlike any musical experience anywhere. Once exposed to the Jimmy Bosch experience, there is no turning back to anything less. This is commonly the <a href=""https://www.last.fm/music/Jimmy+Bosch"">Read more on Last.fm</a>",
Mo' Horizons,474062,4698698,"Mo' Horizons are the producers, musicians and DJ's Ralf Droesemeyer and Mark 'Foh' Wetzler. Their first album, Come Touch the Sun, which features Mo's first two 12""s 'Yes Baby Yes (Sally Said) and Foto Viva, melts together influences ranging from the soulful fifties, sixties & funky seventies straight to the nineties. Integrating modern production techniques and a handful of talented live-musicians and vocalists they create a sound that varies in mood and style but is still homogenous and therefore can easily be identified as Mo' Horizons. <a href=""https://www.last.fm/music/Mo%27+Horizons"">Read more on Last.fm</a>",
Obie Bermudez,64665,396162,"Obie Bermúdez es un cantante y compositor puertorriqueño. Nació el 10 de enero de 1980, en la zona cálida y montañosa de Aibonito, (Puerto Rico). De abuelo músico y de padre fundador de una banda de rock, desde los 12 años de edad su familia se traslada a New York (EE.UU.), lugar donde nació el padre de Obie.

Fue allí donde empezó su carrera artística. Primeramente cuenta que, para ganarse el pan de cada día, trabajaba en una lavandería <a href=""https://www.last.fm/music/+noredirect/Obie+Bermudez"">Read more on Last.fm</a>",
Los Tucanes de Tijuana,310580,4028010,"Los Tucanes de Tijuana is a Mexican band founded on 13 April 1987 by Mario Quintero Lara and a group of talented friends in Tijuana, Baja California, Mexico. From humble beginnings, starting their musical career by playing at nightclubs they rose to become the most successful and sought after Norteño band in Mexico, Latin America and the United States. They are by far the global ambassadors of Norteña music and Corrido ballads.


Los Tucanes esta formado de cinco mexicanos originarios de Sinaloa México. <a href=""https://www.last.fm/music/Los+Tucanes+de+Tijuana"">Read more on Last.fm</a>",Mexico
La Retrocumbia,129,1738,biografia no encontrada,
Skeewiff,123369,1303906,"UK based DJ, musicians and production duo Alex Rizzo and Elliot ireland whose cheeky humour and dancefloor production skills create a unique sound.

Essentially an electronic breakbeat act, they include elements of jazz and particularly lounge music into their style. They also draw on other styles such as big band and Indian. The result is a contemporary, often instrumental music that is much used by Games, Film and TV producers (FIFA, Adidas etc) and consequently many Skeewiff tracks will be subliminally familiar to a wide audience... <a href=""https://www.last.fm/music/Skeewiff"">Read more on Last.fm</a>",
Enrique Iglesias,2595578,51695841,"Enrique Miguel Iglesias Preysler (born 8 May 1975) is a Spanish singer and songwriter. He started his recording career in the mid-1990s on the Mexican label Fonovisa and became the bestselling Spanish-language act of the decade. By the turn of the millennium, he made a successful crossover into the mainstream English-language market. He signed a multi-album deal with Universal Music Group for US$68 million with Universal Music Latino to release his Spanish albums and Interscope Records to release English albums. <a href=""https://www.last.fm/music/Enrique+Iglesias"">Read more on Last.fm</a>",Mexico
Carlos Ponce,27605,148631,"Carlos Ponce (born September 4, 1972) is a Puerto Rican actor, singer, composer and television personality. Ponce began his acting career by participating in Spanish language soap operas for Televisa and Telemundo. Ponce continued to expand his acting career by participating in various American television series. He did not limit himself solely to a career in television. Ponce, who is also a singer, is also active in the American movie industry as a character actor. <a href=""https://www.last.fm/music/Carlos+Ponce"">Read more on Last.fm</a>",United States
Melody,290331,4127780,"1) Melodía Ruiz Gutiérrez (born 12 October 1990), best known by her stage name Melody, is a Spanish singer. Melody became famous at the age of 10 with her song ""El baile del gorila"", one of the biggest summer hits of 2001 in Spain. She has released six albums and numerous singles. She represented Spain at the Eurovision Song Contest 2025 with the song ""Esa diva"".

2) Gabriella Abreu Severino (born February 4, 2007), known professionally by her stage name Melody, is a Brazilian singer, songwriter, and musician. <a href=""https://www.last.fm/music/Melody"">Read more on Last.fm</a>",Brazil
El Cuarteto De Nos,255475,17701574,"El Cuarteto de Nos is an Uruguayan alternative rock band formed in 1984 in Montevideo. The band was originally comprised of the Musso brothers (Roberto and Riki Musso) and Santiago Tavella, who they had met in high school. In 1984 they released their debut album, a split LP with uruguayan candombe musician Alberto Wolf under the Ayuí / Tacuabé label. Leonardo Baroncini was hired to be a guest drummer on the record.

In March 1987 they released Soy una arveja <a href=""https://www.last.fm/music/El+Cuarteto+De+Nos"">Read more on Last.fm</a>",
Ana Torroja,129214,1289579,"Ana Torroja is a Spanish vocalist, and was the lead singer of the million-selling trio Mecano. Daughter of a noted engineer, she was born in Madrid on December 28, 1959, and met José María Cano while studying economics at university. The two became good friends, and José María soon introduced Ana to his younger brother Nacho. Upon hearing Ana singing along to his brother's compositions on the guitar, Nacho suggested that the three should form a band, and in 1981 Mecano was born. <a href=""https://www.last.fm/music/Ana+Torroja"">Read more on Last.fm</a>",Spain
Willie Bobo,223148,1216022,"Willie Bobo was the stage name of William Correa (February 28, 1934 – September 15, 1983),[1] a Latin and jazz percussionist of Puerto Rican ancestry.
His youngest son, Eric Bobo (Eric Correa), is a percussionist with crew Cypress Hill. He also performed on the Beastie Boys' 1994 album Ill Communication, as well as doing the 1994 Lollapalooza tour with the group

His grandson William Valen Correa, son of Bobo's first son William Gill Correa, is Co-Founder of the music-based non-profit organization HNDP Los Angeles. <a href=""https://www.last.fm/music/Willie+Bobo"">Read more on Last.fm</a>",
Malú,78751,1322893,"There are at least 4 singers named Malú or Malu.

1.  María 'Malú' Lucía Sánchez (born 15 March, 1982) is a singer from Madrid, Spain. Malú was discovered at the age of 15 when she was singing at a family party. She began the recording of her first album Aprendiz in January 1998. Malú is the niece of the flamenco singer-songwriter Paco de Lucía.

2. Malu is a pop singer from Amsterdam, The Netherlands. There is no accent on the letter 'u', but scrobbles of her songs end up here due to Last. <a href=""https://www.last.fm/music/+noredirect/Mal%C3%BA"">Read more on Last.fm</a>",
Luis Alberto Posada,8402,109185,biografia no encontrada,
José José,314289,14267933,"José José (José Rómulo Sosa Ortiz, Mexico City, Mexico, February 17, 1948 — September 28, 2019)  was a Mexican singer, musician and occasional actor. 

Born into a family of musicians and raised in Mexico City, José began his musical career in his early teens playing guitar and singing in serenades. He later joined a jazz and bossa nova trio where he sang and played bass and double bass. José found success as a solo artist in the early 1970s. <a href=""https://www.last.fm/music/+noredirect/Jos%C3%A9+Jos%C3%A9"">Read more on Last.fm</a>",Mexico
Jon Secada,253532,1783117,"Juan Francisco Secada (born October 4, 1962 in Havana, Cuba)  better known as Jon Secada is an Afro-Cuban singer and songwriter. Secada was born in Havana, Cuba, and raised in Hialeah, Florida. He has won two Grammy Awards and sold 20 million albums since his English-language debut album in 1992, made famous for his song Just Another Day. His music fuses funk, soul, pop and Latin percussion. Secada also has appeared as a songwriter for Gloria Estefan, Jennifer Lopez, Ricky Martin, Mandy Moore and other performers. <a href=""https://www.last.fm/music/Jon+Secada"">Read more on Last.fm</a>",
Los Legendarios,104629,844861,biografia no encontrada,
paco pineda y su grupo tex mex,122,1306,biografia no encontrada,
Lemon,137243,2473743,"There are various groups with the name Lemon.

1) Who are they? Polish band. Lemon is a brainchild of Igor Herbut. He founded the band right after he’d gotten to know that he had been accepted as the contestant of Must Be the Music talent show. He partook in the auditions with his cousin Adam after the night they spent at a wedding party as vocal performers. That’s what Igor has to say about this unusual experience: When we got to know we could <a href=""https://www.last.fm/music/Lemon"">Read more on Last.fm</a>",
Yuri Buenaventura,58273,311023,"Yuri Buenaventura - Colombian salsa singer.

One of Colombia's most talented salsa singers that emerge from the salsa circles of Cali. Yuri currently resides in France. 

 With “Vagabundo”, Colombian singer Yuri Buenaventura reveals himself as the “brightest new star from South America”. From the irresistibly swingy ‘Guajiro del Monte’, with its expansive and golden big-band dance sound to the pared-back and poignant ‘Donde Estas?’ – it’s always clear that we’re in completely assured hands. <a href=""https://www.last.fm/music/Yuri+Buenaventura"">Read more on Last.fm</a>",Colombia
Jarabe de Palo,563796,9382639,"Jarabe de Palo (literally ""Wooden Stick Syrup"" or, after the Spanish expression ""dar un jarabe de palo"", i.e. a ""hell of a beating""), was a Spanish rock band founded in 1996. The group was led by singer, songwriter, and guitarist Pau Donés, whose death in 2020 caused the band to break up.

Pau Donés, born and raised in Barcelona, worked for various groups before being able to take on his current project, Jarabe de Palo. He began at age 15 with his brother Marc, with whom he formed a group known as J. <a href=""https://www.last.fm/music/Jarabe+de+Palo"">Read more on Last.fm</a>",Spain
Gloria Estefan,752353,7645626,"Gloria Estefan (born Gloria María Fajardo, September 1, 1957, in Havana, Cuba) is a seven-time Grammy Award-winning singer-songwriter, actress and social activist. Known as the ""Queen of Latin Pop"", she in the top 100 best-selling music artists with over 100 million albums sold worldwide, 31.5 million of those in the United States. Estefan is the most successful crossover performer in Latin music to date.

Beginning her career in 1975 as lead vocalist for the then exclusively Spanish-language band <a href=""https://www.last.fm/music/Gloria+Estefan"">Read more on Last.fm</a>",
Armando Manzanero,87269,680792,"Armando Manzanero (born in Mérida, México on December 7, 1935- died in Ciudad de Mexico on December 28, 2020) was  a Latin American musician and composer, widely considered the premiere Mexican romantic composer of the postwar era.

At the age of eight he was introduced into the world of music in the Escuela de Bellas Artes (School of High Arts) of his native city, later furthering his musical studies in Mexico City. In 1950, at the age of fifteen <a href=""https://www.last.fm/music/Armando+Manzanero"">Read more on Last.fm</a>",Mexico
Bertin Osborne,8502,55729,"Norberto Ortiz Osborne, a.k.a Bertín Osborne, es un cantante y presentador español. Nació en Madrid el 7 de diciembre de 1953 y estudió en los jesuitas de Chamartín, aunque pasó gran parte de su infancia en Jerez de la Frontera (Cádiz) donde se encuentran las bodegas, negocio tradicional de su familia.

Si bien su primera actuación musical se remonta a 1971, en el Festival de la Canción de El Escorial, hubo de esperar a 1980, para firmar su primer contrato para grabar un disco <a href=""https://www.last.fm/music/Bertin+Osborne"">Read more on Last.fm</a>",
Qarto Aparte,1310,7542,biografia no encontrada,
Aleks Syntek,290370,3347223,"Mexican Aleks Syntek was born in September 29 of 1969. 

This talented musician has been involved in many different projects from advertisements to TV shows and movies. 

By the late '80s, Syntek, along with two friends, decided to form an alternative band. Their first record, called Hey Tú, was released by EMI in 1990, followed by Más Fuerte De Lo Que Pensaba in 1993. The latter included a contribution from former The Doors Ray Manzarek who played in a song called ""Nuestras Costumbres.""  <a href=""https://www.last.fm/music/Aleks+Syntek"">Read more on Last.fm</a>",Mexico
Luis Miguel,807461,34694707,"Luis Miguel Gallego Basteri (born 19 April 1970) is a Mexican singer and icon in Latin America, often referred to as El Sol de México (The Sun of Mexico), which is the nickname his mother gave him as a child- ""mi sol"". He is widely regarded as the most successful artist in Latin American history, having successfully performed in a wide range of musical styles, including pop, ballads, boleros, tangos, jazz, big band and mariachi. Luis Miguel is also <a href=""https://www.last.fm/music/Luis+Miguel"">Read more on Last.fm</a>",Mexico
Raulin Rodriguez,96302,859015,"Born in San Fernando de Monte Cristi, Monte Cristi in the Dominican Republic on June 16, 1970,related to the Zapata family of Monte cristi is one of the first major bachata artists to have national success and popularize this style of music in his country. Born in the northwest coast of the island, he toured with Antony Santos as a guitar player at age fifteen, and then went on to own band. <a href=""https://www.last.fm/music/Raulin+Rodriguez"">Read more on Last.fm</a>",
OBK,44780,652645,"English:
OBK is a techno-pop group from Barcelona (Spain). 
It was founded by Miguel Arjona and Jordi Sánchez in the late 1980s. OBK are big fans of Depeche Mode and the name of the group OBK is short for ""Oberkorn (It's a Small Town)"", the name of the B-side from ""The Meaning of Love"".

Discography

    * 2008: Ultimatum
    * 2005: Feeling
    * 2004: Sonorama
    * 2003: Babylon
    * 2001: Extrapop
    * 2000: Antropop
    * 1998: Singles '91-'98 <a href=""https://www.last.fm/music/OBK"">Read more on Last.fm</a>",
Ricardo Montaner,227258,2562488,"Ricardo Montaner (born as Hector Eduardo Reglero Montaner on September 8, 1957) is an Argentine-Venezuelan singer and songwriter. Starting his career in the early 80s, he has already released more than 15 albums with numerous successful singles and over 7 million record worldwide.

Montaner was born as Héctor Eduardo Reglero Montaner, in Valentín Alsina, Buenos Aires, Argentina. However, he moved to Venezuela when he was 6 years old. During his youth he performed in the church chorus in the city of Maracaibo. <a href=""https://www.last.fm/music/Ricardo+Montaner"">Read more on Last.fm</a>",
Laura Miller,1084,8784,biografia no encontrada,
Ha*Ash,150864,3581345,"Ha*Ash is a Mexican-American pop/rock duo of the sisters Hanna Nicole Pérez Mosa and Ashley Grace Pérez Mosa. Combining a mix of latin pop, country and singer/songwriter, the Mexican-based duo has had great success specially in their two homes Mexico and the US. Their hits include ""Estes Donde Estes"",""Odio Amarte"",""Te quedaste"",and ""Amor a Medias."" <a href=""https://www.last.fm/music/Ha%2AAsh"">Read more on Last.fm</a>",
Donato Y Estefano,19275,88955," <a href=""https://www.last.fm/music/Donato+Y+Estefano"">Read more on Last.fm</a>",
La Oreja de Van Gogh,630401,18675307,"La Oreja de Van Gogh (English: Van Gogh's Ear) is a Spanish band. The name of the band references the Dutch painter Vincent Van Gogh who allegedly cut off his own ear. It was formed in Spain in 1996, when guitarist Pablo Benegas, bassist Álvaro Fuentes, keyboardist Xabi San Martín and drummer Haritz Garde met at university.

San Martin was the vocalist until Amaia Montero joined the band by request from Benegas, just after he met her at a dinner party. <a href=""https://www.last.fm/music/La+Oreja+de+Van+Gogh"">Read more on Last.fm</a>",Netherlands
Orquesta Tabaco y Ron,6564,34452,"In 1998 Executive Producer Nissim J. Baly was looking to expand his Latin Music Entertainment, Inc. roster of proprietary record labels. A long time Salsa music aficionado, Baly approached musician and composer friend Hector Manuel Rivera with the idea of producing a record for the recently launched imprint of Dimelo! Records. After much collaboration, a new sound representative of their hometown of Los Angeles was crafted; Orquesta Tabaco y Ron was born. <a href=""https://www.last.fm/music/Orquesta+Tabaco+y+Ron"">Read more on Last.fm</a>",
Bacanos,6373,48244,biografia no encontrada,
Damas Gratis,85203,1404468,"Damas Gratis es un grupo musical de cumbia villera. Desde su salida, obtienen un éxito con su primer CD, al que titularon ""Para los pibes"", llevándolos a los mejores rankins de la cumbia en Argentina, Paraguay y Chile y popularizando el estilo de ""cumbia villera"" con el tema ""Se te ve la tanga"". Recientemente ya llegaron a presentarse en Mexico especialmente en Monterrey donde realizaron bailes masivos logrando en el auditorio coca cola un lleno impresionante de alrrededor de 20 <a href=""https://www.last.fm/music/Damas+Gratis"">Read more on Last.fm</a>",
La Gran Banda,1867,10306,biografia no encontrada,
Marcela Morelo,31137,268482,"Marcela Morello (whose stage name is Marcela Morelo, also known as ""La Morelo"") was born on Lanús, Buenos Aires on 13 December 1964. She currently has recorded eight studio albums, a live album and a Greatest Hits compilation (""Los 20 de Morelo""), her first music albums promove latin music, mixed with pop, rock, ballads and folklore, through the use of andin instruments, such as charango, quena and sikus (also known as ""Flauta de Pan"" or ""zampoña""), among others. <a href=""https://www.last.fm/music/Marcela+Morelo"">Read more on Last.fm</a>",
Paulina Rubio,454351,15086834,"Paulina Susana Rubio Dosamantes (born 17 June 1971 in Mexico City), known as Paulina Rubio is a Mexican singer-songwriter. Referred to as  ""The Golden Girl"".

She first achieved recognition as a member of the successful pop group Timbiriche from 1982 through 1991. Rubio's first two solo albums, La Chica Dorada and 24 Kilates, were commercial successes and made her then EMI Latin's best-selling Mexican female artist. In the mid-1990s, she adopted a more mature and electronic style for her next two albums, El Tiempo Es Oro and Planeta Paulina.  <a href=""https://www.last.fm/music/Paulina+Rubio"">Read more on Last.fm</a>",Mexico
Glup!,84386,2069816,"Glup! is a Chilean pop/rock band founded in Santiago, Chile in 1996 by Koko and Marcel Molina, with Rodrigo and Vid Stambuk joining soon after the band was brought to them. In 1997, Gustavo Chavín Labrín also joined. Although the band recorded their first demo in 1996, it wouldn't be until 1999 that they recorded in a studio. They quickly became known, especially after their performance at the International Festival of Viña del Mar. In 2000, while the band was recording their second album, guitarist Tom Picetti joined the band. <a href=""https://www.last.fm/music/Glup%21"">Read more on Last.fm</a>",Chile
Shakira,4648348,168777209,"Shakira Isabel Mebarak Ripoll is a Colombian singer. Born and raised in Barranquilla, She made her recording debut with Sony Music Colombia at the age of 13. Following the commercial failure of her first two albums, Magia (1991) and Peligro (1993), she rose to prominence in Hispanic countries with her next albums, Pies Descalzos (1995) and Dónde Están los Ladrones? (1998). She entered the English-language market with her fifth album, Laundry Service (2001), which sold over 13 million copies worldwide. <a href=""https://www.last.fm/music/Shakira"">Read more on Last.fm</a>",Colombia
Mauricio & PalodeAgua,10840,79208,"Mauricio & Palodeagua is a Colombian band, influenced by Carlos Vives and Fonseca rythms. It's a very well known group in Colombia and some latinamerican countries. <a href=""https://www.last.fm/music/Mauricio+&+PalodeAgua"">Read more on Last.fm</a>",Colombia
Rodrigo,117652,1287426,"Rodrigo Alejandro Bueno (born 24/5/1973 in Córdoba, Argentina; died 24/6/2000 in Buenos Aires, Argentina), also known by his stage name Rodrigo or nickname ""El Potro"", was a very popular cuarteto singer from Argentina. He is considered one of the most important singers of cuarteto music, as he brought this genre from his birth place in Córdoba to big popularity throughout Argentina.

If you're listening to, or looking for, classical music by the Spanish composer, please then consider going to artist Joaquín Rodrigo. <a href=""https://www.last.fm/music/Rodrigo"">Read more on Last.fm</a>",Spain
Mai Meneses,604,4514,biografia no encontrada,
Ricky Martin,1558973,17864911,"Ricky Martin (born in San Juan, Puerto Rico on December 24, 1971 as Enrique Martin Morales), is a successful Puerto Rican pop singer who rose to fame, first as a member of the Latin boy band Menudo, then as a solo artist since 1990. He has sold over 95 million albums since the start of his career. He is widely regarded as the King of Latin Pop, and is considered to have opened the doors for some of his fellow Latin American singers like Jennifer Lopez and Shakira. <a href=""https://www.last.fm/music/Ricky+Martin"">Read more on Last.fm</a>",United States
Belinda,472080,10763247,"Belinda Peregrín Schüll, known by artistic name Belinda (born August 15, 1989 in Madrid, Spain), is a Latin Grammy Award nominated Spanish-Mexican singer, songwriter, dancer and actress, who debuted in 2003 with the self-titled album, Belinda, under Sony BMG and RCA Records. Her international self-titled album Belinda as released in Mexico City, Mexico by BMG and RCA Records on August 5, 2003 and became a great a success in many different countries including Mexico, selling 2.5 million copies worldwide.  <a href=""https://www.last.fm/music/Belinda"">Read more on Last.fm</a>",
María Bestar,5712,18933,"María Bestar, spanish singer-songwriter. She was a hit in the 2000 with the song pensando en ti.
Actually, she has 2 works: ""María Bestar"" (2000) and ""Sonámbula"" (2004). <a href=""https://www.last.fm/music/+noredirect/Mar%C3%ADa+Bestar"">Read more on Last.fm</a>",Spain
Alexandre Pires,189879,2113282,"In 2003, to the being received in the White House for the president of the United States, George W. Bush, Alexandre Pires click for photos with the powerful politician, for which he played guitar and sang Girl of Ipanema in Portuguese and English. The historical meeting with Bush confirmed the meteoric world-wide success made by this brazilian from Uberlândia, Minas Gerais, that had launched its first record in 1993, only ten years ago.    Been born in 8 of January of 1976 <a href=""https://www.last.fm/music/Alexandre+Pires"">Read more on Last.fm</a>",Brazil
Jean Carlos,7781,53730,biografia no encontrada,
Draco Rosa,30323,468345,"Born Robert Edward Rosa Suarez on June 27, 1969, Long Island, New York. As ""Robby Rosa"" he was a member of Menudo from Valentine's Day, 1984 to 1987. He replaced Johnny Lozada in Menudo and soon became another fan favorite. He sang such hits like Tu Sabes A Chocolate, Hold Me and Like A Cannonball, which was featured in Hollywood hit Cannonball Run 2. He was replaced in Menudo by Ruben Gomez after the band's manager denied Rosa the opportunity to contribute songs to the group. <a href=""https://www.last.fm/music/+noredirect/Draco+Rosa"">Read more on Last.fm</a>",
Los Playeros,1238,12776,biografia no encontrada,
Debelah Morgan,37915,216404,"Debelah Morgan (born September 29, 1977, Detroit, Michigan) is an American R&B singer and songwriter. Her stage name was simply Debelah at the beginning of her music career, but changed to her full name after her first music label dropped her. Morgan has enjoyed sporadic success, peaking with her song ""Dance With Me.""

Debelah was born to an African-American father and an Indian mother, and is conversational in Hindi. She also has learned to sing in several languages, including French, Italian, German, Hindi, and Portuguese. <a href=""https://www.last.fm/music/Debelah+Morgan"">Read more on Last.fm</a>",India
Banda XXI,25833,296397,biografia no encontrada,
Amparanoia,174546,1560934,"Amparanoia is the musical project of the Spaniard Amparo Sanchez. Her major early inspiration was Billie Holiday; Manu Chao, her friend and driving force, said upon hearing her:  ‘As a child you swallowed a microphone, and because of this you have that voice streaming out!’.

She was born in Granada in 1970. At 16 years of age Amparo had her first band, Correcaminos. From then, she had been occasionally  involved with other Blues, Jazz, Rock'n'roll and Soul music groups as a singer. <a href=""https://www.last.fm/music/Amparanoia"">Read more on Last.fm</a>",Spain
Andy Aguilera,2122,13894,biografia no encontrada,
Jimmy Sabater,18077,94043,"Jimmy Sabater (April 11, 1946 - February 8, 2012) was born in Harlem Hospital, New York City. The proud son of Nestor Sabater and Teresa Gonzalez of Ponce, Puerto Rico, Jimmy grew up in East Harlem, the Spanish Quarter of New York City known as “El Barrio”. Like most teenagers in the neighborhood, he played stickball, flew kites, and harmonized the tunes of the popular R&B groups and vocalists of the day such as Nat King Cole.
   He was inspired by percussionists such as Willie Bobo <a href=""https://www.last.fm/music/Jimmy+Sabater"">Read more on Last.fm</a>",Spain
Wakal,9846,81366,"Wakal 
(Jorge Govea)
Musician, producer, born in Mexico City. At 15, I began my musical career on the Rock scene. Beyond my interest for acoustic and analog instruments, I started in 1998 to experiment field recording and founded in Mexico Cityestudios idEA( improvisados dE Azotea) to study the sound of the streets.
In 2000 I was one of the creators of Indie Electronic Music Collective Chilandgo. Its purpose was to reveal the true colors and urban symbols of Mexico City. <a href=""https://www.last.fm/music/Wakal"">Read more on Last.fm</a>",
Andrés Cepeda,93851,2409683,"
Andrés Cepeda es uno de los artistas colombianos de mayor reconocimiento a nivel nacional e internacional, sus bellas composiciones lo han consagrado como uno de los cantautores mas versátiles de Latinoamérica.

Andrés Cepeda nació en Bogotá el 7 de julio de 1973; es el menor de una familia de cinco hermanos.
Su talento lo obtuvo desde niño con tan solo 5 años decide comenzar sus estudios musicales tocando el piano, luego en su adolescencia <a href=""https://www.last.fm/music/+noredirect/Andr%C3%A9s+Cepeda"">Read more on Last.fm</a>",
Fey,167778,3442017,"Fey  (born María Fernanda Blázquez Gil on July 21, 1973) is a Mexican singer, songwriter, and actress who rose to fame in the mid-1990s. Recognized for her catchy electro-pop sound and energetic dance flair, Fey has become an influential figure in Latin pop music. Throughout her career, she has released numerous hit singles and albums, cementing her status as one of Mexico's most prominent pop artists.

Early Life and Career
Born in Mexico City, Fey began her music career at a young age. <a href=""https://www.last.fm/music/Fey"">Read more on Last.fm</a>",Mexico
