artista,oyentes,reproducciones,bio_resumen,pais
DJ Marky,134464,1347000,"DJ Marky is a pseudonym of Brazilian drum and bass innovator Marco Antônio Silva, who began in the early 90's (as DJ Marky Mark).

During the late 90's, he built up a following in London, then thought Europe and eventually took the world by storm. His live acts are known for precise / elaborate mixing and expectant crowds, with whom he evidently has a special connection.

His album début was ""Workin' the Mix, in 1999, followed by ""Audio Architecture"" (2000, Trama). <a href=""https://www.last.fm/music/DJ+Marky"">Read more on Last.fm</a>",Brazil
Blur,4624547,186428815,"Blur is an English rock band formed in London in 1988, consisting of singer Damon Albarn, guitarist Graham Coxon, bassist Alex James, and drummer Dave Rowntree. Their debut album, ""Leisure"" (1991), incorporated elements of Madchester and shoegaze. Following a stylistic change influenced by British guitar pop groups such as the Kinks, the Beatles, and XTC, Blur released ""Modern Life Is Rubbish"" (1993), ""Parklife"" (1994), and ""The Great Escape"" (1995). <a href=""https://www.last.fm/music/Blur"">Read more on Last.fm</a>",United Kingdom
Fila Brazillia,444512,5535453,"Fila Brazillia are from Kingston Upon Hull in East Yorkshire in the UK. They were formed in 1990 by Steve Cobby and David McSherry. 

They released six albums on Pork Recordings and after creating their own music label, Twentythree Records in 1999, a further four albums followed. Other releases include a various artists compilation in the Another Late Night series, which featured a new track of theirs, Nature Boy (a Nat King Cole cover), and a more dancefloor-oriented compilation entitled Another Fine Mess <a href=""https://www.last.fm/music/Fila+Brazillia"">Read more on Last.fm</a>",
Summer Love,25611,132435,"Summer Love play doom inspired psychedelic rock with the same treble and vibrato vocal effects used by Ozzy on ""Planet Caravan"" on every song. <a href=""https://www.last.fm/music/Summer+Love"">Read more on Last.fm</a>",
Seek,118227,860712,"Three-piece blackened hardcore / post-metal band from Osaka, Japan. <a href=""https://www.last.fm/music/Seek"">Read more on Last.fm</a>",
Groove Armada,1728540,32794011,"Groove Armada is an electronic music group from Cambridge, United Kingdom, composed of two members, Andy Cato (real name Andrew Cocup) and Tom Findlay. They first came to fame with a 1997 limited single release, At the River (made famous after being used in various Marks & Spencer advertisements), which sampled ""Old Cape Cod"" by Patti Page. The song has since made its way onto numerous chill-out compilations.

Their most famous work is the 2000 international hit I See You Baby <a href=""https://www.last.fm/music/Groove+Armada"">Read more on Last.fm</a>",
Gaya Band,1053,2804,biografia no encontrada,
Aquarious,28385,116725,"alias of Photek <a href=""https://www.last.fm/music/Aquarious"">Read more on Last.fm</a>",
S-tone Inc,85358,618115,"S-Tone Inc. is the main musical project of Stefano Tirone, a musician from Milan, Italy, who has been working in the world of music for over twenty years. The first song under this name was released in 1992 during the acid jazz era, which represented for him the perfect combination among soul, jazz and latin influences which were those who mostly interested him. His first approach to music not as a listener but as a player was in the early 80’s during the new wave period. <a href=""https://www.last.fm/music/+noredirect/S-tone+Inc"">Read more on Last.fm</a>",
SMiLE.dk,244957,2480679,"SMiLE.dk is a Swedish pop duo with the singers Malin and Veronica from Sweden. Malin and Veronica met each other in singing school in 1994 and have been best friends ever since. However, they didn’t start working together until the year 2000, when Nina who sang together with Veronica on the first album, wanted to have a solo career, and Malin joined Smile.dk. They celebrated their biggest success in Asia and have achieved superstar status through selling a whole amount of records. <a href=""https://www.last.fm/music/SMiLE.dk"">Read more on Last.fm</a>",
Fatboy Slim,2570819,48328926,"Fatboy Slim is a pseudonym of Quentin Leo Cook (b. 31 Jul 1963 in Reigate, Surrey - aka Norman Cook), an English big beat musician.

Quentin Leo Cook was educated at Reigate Grammar School. He started a punk fanzine titled Peroxide with his neighbour Andrew Thomas and art student Ian McKay (formerly Laidlaw). Contemporary with his publishing activities, he played drums in Disque Attack (a British new-wave-influenced rock band) for which he later performed lead vocals. <a href=""https://www.last.fm/music/Fatboy+Slim"">Read more on Last.fm</a>",United Kingdom
Aqua,1542523,17652166,"Aqua is a name shared by multiple music groups from different countries and genres.

1. Aqua is Danish-Norwegian dance-pop group formed in 1989 originally under the name Joyspeed, later renamed Aqua in 1994. They gained international fame in the late 1990s and early 2000s with hits such as ""Barbie Girl."" Their first three singles reached number one on the UK Singles Chart. They released two albums, ""Aquarium"" in 1997 and ""Aquarius"" in 2000, before disbanding in 2001. <a href=""https://www.last.fm/music/Aqua"">Read more on Last.fm</a>",
Shazz,64261,360016,"It begins with an intense, warm gust, a balmy summer breeze, caressing and sensual… “Joy” is the opening track of Shazz’s new album. The voice of Shazz’s partner and friend for more than 15 years – Alex C, his spiritual brother – glides with the usual emotion over a blanket of strings and jazz-inspired chords. This really is the ideal way to begin our journey through Shazz’s new album, the record he dreamt of for so long, the one that suggests that for every path, there is finally a very logical destination.  <a href=""https://www.last.fm/music/Shazz"">Read more on Last.fm</a>",
Pauline London,57197,296481,"Pauline London (http://paulinelondon.com/) is singer-songwriter , whose music brings together nu-jazz, lounge and soul with subtle electronics. Pauline has an extremely versatile singing approach, mixing different styles and sonority. She has performed in jazz style, showing herself for years in the most prestigious Italian jazz-club, singing standards, pop songs and original compositions of her own. She is also a vocal improviser that moves from tradition of scat singing to enrich it with an interesting phrasing derived from pop <a href=""https://www.last.fm/music/Pauline+London"">Read more on Last.fm</a>",Italy
Bob Baldwin,62357,563113,"Contemporary player tabbed by Malaco as an early signee when the company, best known for downhome Southern soul and blues, tried to expand into jazz during the late '80s. Baldwin's heavily synthesized, pop and funk-centered work didn't prove commercially potent, and he moved to Atlantic in 1990. He remained in Atlanta into the next decade and has had moderate success there, continuing to churn out the familiar instrumental pop tunes and carefully crafted numbers, in addition to working some in radio. <a href=""https://www.last.fm/music/Bob+Baldwin"">Read more on Last.fm</a>",
Bambee,207387,1756711,"Bambee was Desirée Sparre-Enger a well-known Traditional Bubblegum  dance artist from Norway. Bambee's music is well-known by fans of Dance Dance Revolution (DDR), in which many of her biggest hits were regularly used. Some of her most famous songs are Bumble Bee, Spaceman, Online, Typical Tropical, and her very first single Candy Girl.

Name Origin

Desirée chose the name ""Bambee"" as a reference to her eyes, as people often told her they are comparable to the eyes of ""Bambi"" from Disney's famous animated film. <a href=""https://www.last.fm/music/Bambee"">Read more on Last.fm</a>",
The RH Factor,196796,1838977,"The RH Factor is a progressive jazz group that combines elements of soul, jazz, funk, and hip-hop. It is led by jazz trumpeter Roy Hargrove and features many popular neo-soul and alternative hip hop artists.

2) US rock band that released 'One Step Closer To The Sun' in 1985 and 'Cries Of The Night' in 1988. <a href=""https://www.last.fm/music/The+RH+Factor"">Read more on Last.fm</a>",
Greyboy,121018,932595,"Greyboy is San Diego producer and DJ, Andreas Stevens, he makes spacy acid jazz with hip-hop roots.  Also variously known as DJ Greyboy and also contributed to the Greyboy Allstars.

""Soul Mosaic"" is the latest Greyboy album, and was recorded 10 years after the release of ""Freestylin',"" the first Greyboy full-length album for Ubiquity. The tracks crafted into this fourth Greyboy album include groundbreaking territory for the Southern California based producer/DJ. <a href=""https://www.last.fm/music/Greyboy"">Read more on Last.fm</a>",
Richard Hall,3560,18533,biografia no encontrada,
The Chemical Brothers,2816839,83080991,"The Chemical Brothers are an English electronic music duo formed by Tom Rowlands and Ed Simons in Manchester in 1989. They were pioneers (along with the Prodigy, Fatboy Slim, the Crystal Method, and other acts) in bringing the big beat genre to the forefront of pop culture. After attracting Virgin Records, the duo achieved further success with second album Dig Your Own Hole (1997), which topped the UK charts. In the UK, they have had six No. 1 albums and 13 top-20 singles, including two chart-toppers. <a href=""https://www.last.fm/music/The+Chemical+Brothers"">Read more on Last.fm</a>",
Louie Austen,157727,1034087,"Louie Austen is an Austrian downtempo / jazz artist from Vienna who mixes jazz with funk using electronic beats. His songs also feature a lot of vocals, mostly sung by himself. He was discovered by Mario Neugebauer at a hotel bar in Vienna in 1998. Mario also composed and produced his first album: Consequences in 1999, which was released by cheap records Vienna. For the next two albums Mario was joined by Patrick Pulsinger. Those albums appeared in licence cooperation with Kitty-Yo in Berlin. <a href=""https://www.last.fm/music/Louie+Austen"">Read more on Last.fm</a>",Austria
Takkyu Ishino,30400,329025,"石野卓球 (Takkyu Ishino) is known mainly for being a member of synthpop band Denki Groove, but in recent years he has moved into a second career as an in demand techno DJ and remixer, becoming well-known in Europe. Take a listen to Denki Groove's 1993 album Vitamin, and then compare it to Ishino's 1993 remix of Pizzicato Five's ""Twiggy Twiggy,"" which reduces the song down to the chanted title words and a pulsing, evolving techno track. Ishino's techno expertise gives Vitamin its punch <a href=""https://www.last.fm/music/Takkyu+Ishino"">Read more on Last.fm</a>",
Blue States,390602,3942213,"Blue States is an electronic/dream pop band headed up by Andy Dragazis. The band has been active since 1997 and is still producing music out of Sussex, England as of 2005. A track from their 2002 album Man Mountain, ""Season Song"", appeared on the soundtrack to the British horror film, ""28 Days Later"".

1998  Inspired by Aphrodite’s Child and David Axelrod, 22 year old, half-Greek man mountain Andy Dragazis aka Blue States records demos on his home studio set up in a barn on the Sussex Downs in England. <a href=""https://www.last.fm/music/Blue+States"">Read more on Last.fm</a>",United Kingdom
Amon Tobin,1070447,33864492,"Amon Tobin (born Amon Adonai Santos de Araújo Tobin on February 7, 1972) is a Brazilian musician, composer and producer of electronic music. He is described as a virtuoso sound designer and is considered to be one of the most influential electronic music artists in the world. He is noted for his unusual methodology in sound design and music production. He has released seven major studio albums under the London-based Ninja Tune record label.

It began for him sometime in the mid-90s when <a href=""https://www.last.fm/music/Amon+Tobin"">Read more on Last.fm</a>",Brazil
Bayani Agbayani,11413,32890,"Bayani Agbayani born on January 3, 1969 in Silang, Cavite, is a Filipino singer, comedian and TV host and actor. <a href=""https://www.last.fm/music/Bayani+Agbayani"">Read more on Last.fm</a>",
Eddy Wata,89514,611495,"Eddy Wata is a Nigerian dance music artist probably best known for his 2004 single ""Jam"".
He was born to a Nigerian mother and Jamaican father and began to play with a battery-operated keyboard at a very young age. At the age of 18, he decided to live in Jamaica for four years, where he was met artists that contributed to his love of reggae.
Upon returning to Nigeria, he formed a band, and following numerous television appearances, he made a trip to Europe in 2001. <a href=""https://www.last.fm/music/Eddy+Wata"">Read more on Last.fm</a>",Jamaica
Prezioso,145796,1081308,"Prezioso refers to Andrea Prezioso and Giorgio Prezioso, an Italodance duo with hit singles in countries including Italy, Germany and the United Kingdom. The brothers have released best-selling records as solo artists and as part of italo house ensembles. They are known today as part of the Prezioso feat. Marvin trio with singer Alessandro Moschini. Moschini is called ""Marvin"" after boxer Marvin Hagler. <a href=""https://www.last.fm/music/Prezioso"">Read more on Last.fm</a>",
Tortured Soul,64052,664016,"Tortured Soul is a trio of John-Christian Urich (drums, lead vocals - aka Christian Urich), Ethan White (keys & backing vocals) & Jordan Scannella (bass, backing vocals) - which débuted with the single ""I Might Do Something Wrong"" (Apr 2001, Central Park). 

Following early success with singles - “I Might Do Something Wrong”, ""Fall In Love"" (2002, Central Park - feat Vince Williams aka DJ Spinna) & “How’s Your Life” (2002) - Tortured Soul formed officially as a live band and booked their first nationwide tour in 2003 <a href=""https://www.last.fm/music/Tortured+Soul"">Read more on Last.fm</a>",
Air,3093841,132407201,"Air is a French music duo from Versailles, consisting of Nicolas Godin and Jean-Benoît Dunckel. Their critically acclaimed debut album, Moon Safari, including the track ""Sexy Boy"", was an international success in 1998. Its follow-up, The Virgin Suicides, was the score to Sofia Coppola's first movie of the same name. The band has since released the albums 10 000 Hz Legend, Talkie Walkie, Pocket Symphony, Love 2, Le voyage dans la lune and Music for Museum. The band is influenced by a wide variety of musical styles and artists. <a href=""https://www.last.fm/music/Air"">Read more on Last.fm</a>",France
Squarepusher,939415,24652505,"Squarepusher is a pseudonym of Chelmsford, Essex, England, electronic musician Tom Jenkinson (b. 1975), best known for his experimental drum and bass, with a heavy jazz fusion influence.  A skilled bassist and multi-instrumentalist, Jenkinson's virtuoso playing is a staple of his music and one of the more obvious affiliations with jazz (although his formal arrangements are often as jazz-derived as his playing). His bass style includes melodic fretless playing, high-speed slap bass and intricate chordal work. <a href=""https://www.last.fm/music/Squarepusher"">Read more on Last.fm</a>",
Lamb,1255786,25946197,"An electronic duo formed in 1996 in Manchester, England, by Lou Rhodes (singer-songwriter) and Andy Barlow (music/production). They incorporated into their musical style a distinctive mixture of downbeat, trip-hop, jazz, dub, breaks, and drum and bass with a strong vocal element and, in their later works especially, some acoustic influences. Lamb are notable for their highly experimental work, a distinctive production style, Lou's often passionate lyrical style, and their artistic videos.  <a href=""https://www.last.fm/music/Lamb"">Read more on Last.fm</a>",
DJ Aligator,130125,1029991,"DJ Aligator (born Aliasghar Movasat on March 10, 1975 in Tehran, Iran), formerly known as DJ Aligator Project, is a Persian-Danish dance singer/DJ.

His single The Whistle Song peaked at Number 5 in the United Kingdom, while it went quadruple (4x) platinum in his native Denmark. <a href=""https://www.last.fm/music/DJ+Aligator"">Read more on Last.fm</a>",
Jazztronik,121276,2742605,"Pianist 野崎良太 (Nozaki Ryōta), recording under the name Jazztronik, has been on the Japanese dance music scene since 1998. He has released various full-length albums; his most recent album is ""Jazztronik Studio Live Best"", released 31 Dec, 2012.

He has a good international projection. The title track from the album Samurai was one of the top dance tunes of 2004. Jazztronik's production skills are as stellar as his piano work and have led him to collaborate with Mondo Grosso <a href=""https://www.last.fm/music/Jazztronik"">Read more on Last.fm</a>",Japan
9 Lazy 9,369881,3905165,"9 Lazy 9 is an acid jazz / downtempo group on the Ninja Tune label. Operating out of Italy in 1992, they soon gained respect for their first album Paradise Blown. Their sound, distinctively more sun than North Sea, is a smoky Mediterranean mix of vines and good times. Keir Fraserello and Giacomo Braddellini (a pseudonym for James Braddell a.k.a. Funki Porcini) had been making music for many years in different guises before combining forces in Rome in the early nineties. <a href=""https://www.last.fm/music/9+Lazy+9"">Read more on Last.fm</a>",
Kylie Minogue,3425208,169426975,"Kylie Ann Minogue is an Australian singer, songwriter and actress. She is the highest-selling female Australian artist of all time, having sold over 80 million records worldwide. She has been recognised for reinventing herself in music and fashion, for which she is referred to by the European press as the ""Princess of Pop"" and a style icon. Her accolades include two Grammy Awards, four Brit Awards and 18 ARIA Music Awards. She is the first and only female artist to achieve a number one album in the UK across five consecutive decades. <a href=""https://www.last.fm/music/Kylie+Minogue"">Read more on Last.fm</a>",Australia
Celldweller,683700,32656353,"Celldweller, based in Detroit, Michigan, is the versatile outlet of the artist, performer, producer, songwriter, programmer, and remixer Klayton. It began as a producer pseudonym in the early 90’s, amongst his many other projects including Circle of Dust, Argyle Park, Brainchild and Angeldust, the latter with Criss Angel on vocals (later reissued and renamed simply as Criss Angel albums). Now, over a decade later, Klayton (born Scott Albert) uses the name to deliver his vision of progressively combining multiple genres of music. <a href=""https://www.last.fm/music/Celldweller"">Read more on Last.fm</a>",
DJ Volume,10545,67770,"DJ Volume is Ole Wierk.
He recorded the album ""Let's All Chant""

DJ Volume is Stacy Mier.
Originally a hip-hop / Miami bass dj, Volume made his first appearance in the underground music scene in 1997 with the release of ""Do You Like Acid"". Volume credits the pioneers of breakbeat, The Cotton Club & DJ Icey for his transition into the world of breaks. ""...that was it... a Miami bass drum track with time-compressed hip-hop elements, funky bass lines & acid synths, I could do that!"". <a href=""https://www.last.fm/music/DJ+Volume"">Read more on Last.fm</a>",
Faithless,1708451,34359564,"Formed in 1995 by Sister Bliss, Faithless was a London, England, United Kingdom-based group of musicians whose music is described by one of their band members as a cross between trip-hop and techno.  The four original members of Faithless were vocalist/rapper Maxi Jazz, keyboardist/producer Sister Bliss, instrumentalist/vocalist Jamie Catto and keyboardist/producer Rollo Armstrong. Jamie Catto (now in 1 Giant Leap) left after their second album, Sunday 8PM, which was released in 1998. <a href=""https://www.last.fm/music/Faithless"">Read more on Last.fm</a>",
Mo' Horizons,474062,4698698,"Mo' Horizons are the producers, musicians and DJ's Ralf Droesemeyer and Mark 'Foh' Wetzler. Their first album, Come Touch the Sun, which features Mo's first two 12""s 'Yes Baby Yes (Sally Said) and Foto Viva, melts together influences ranging from the soulful fifties, sixties & funky seventies straight to the nineties. Integrating modern production techniques and a handful of talented live-musicians and vocalists they create a sound that varies in mood and style but is still homogenous and therefore can easily be identified as Mo' Horizons. <a href=""https://www.last.fm/music/Mo%27+Horizons"">Read more on Last.fm</a>",
Thievery Corporation,1861226,62847267,"Thievery Corporation is a Washington, D.C.-based recording artist and DJ duo consisting of Rob Garza and Eric Hilton and their supporting artists. Their music style mixes elements of dub, acid jazz, Indian classical and Brazilian (such as bossa nova) with a lounge aesthetic.

Thievery Corporation is on the Eighteenth Street Lounge record label named after the DC club owned by Eric Hilton, but several of their singles and EP's appear on the 4AD and !K7 labels. <a href=""https://www.last.fm/music/Thievery+Corporation"">Read more on Last.fm</a>",Brazil
Infinity,79705,676121,"There are multiple bands named Infinity.

1. a Dutch black metal band
2. a Norwegian dance act
3. a Czech eurodance group
4. a British psychedelic rock band from the late 1960s
5. a progressive psytrance artist from Greece
6. a Croatian melodic death metal band
7. an Israeli Prog Rock band
8. an American punk-rock band based in St. Augustine, FL, United States
9. The first fusion jazz band of Thailand
10. Italian power metal band
11. Russian pop band <a href=""https://www.last.fm/music/Infinity"">Read more on Last.fm</a>",Italy
Lemon Jelly,572306,9424774,"Lemon Jelly were a British electronica duo from London, UK  and formed in 1998, consisting of Nick Franglen and Fred Deakin.

Franglen and Deakin initially released three limited-circulation EPs: The Bath (1998), The Yellow (1999), and The Midnight (2000), all of which were then collected into a widely-released album in 2000, Lemonjelly.ky, which was both a critical and a commercial success.

Their second album (and self-proclaimed first studio album), Lost Horizons, was released in 2002, and was another success. <a href=""https://www.last.fm/music/Lemon+Jelly"">Read more on Last.fm</a>",United Kingdom
Way Out West,366004,4367191,"There are 2 artists using the name ""Way Out West"". One is a hugely successful British House music and remix act and the other being an Australian World Jazz group. 

British: A world-renowned progressive house and remix act, was conceived in the bowels of Bristol, UK in early 1993. DJ and producer Jody Wisternoff had just been introduced to Nick Warren, and after a few hours in the studio together, they realized they had a common musical vision. Jody Wisternoff and Nick Warren have also maintained careers as successful DJs <a href=""https://www.last.fm/music/Way+Out+West"">Read more on Last.fm</a>",Australia
Noonday Underground,56527,408559,"Noonday Underground is a British musical duo consisting of DJ Simon Dine and vocalist Daisy Martey. Simon Dine, previously of Adventures in Stereo, and Daisy Martey, who briefly sang with Morcheeba, formed the group in London. Their music, often described as retro-pop with influences from trip-hop and soul, is characterized by a 60s aesthetic and sample-heavy production. <a href=""https://www.last.fm/music/Noonday+Underground"">Read more on Last.fm</a>",United Kingdom
Goldfrapp,2067302,64059740,"Goldfrapp is an English electronic band from London, formed in 1999 which consists of Alison Goldfrapp (vocals, synthesizer) and Will Gregory (synthesizer). Despite favourable reviews and a short-listing for the Mercury Prize, the début studio album Felt Mountain did not chart highly. Goldfrapp's second album Black Cherry, which incorporated glam rock and synthpop sounds, was released in 2003. The album influenced the same dance-oriented sound of their third album Supernature. <a href=""https://www.last.fm/music/Goldfrapp"">Read more on Last.fm</a>",
Lollipop,12805,104688,"LOLLIPOP is a name used by more than one band around the world.

1. The winners of the first series of the PopStars TV show in 2001 in Italy were called Lollipop.  They produced two albums and scored a string of hit singles including ""Don't Leave Me Now"", ""Down, Down, Down"", and ""Batte Forte"" 

2. There is also a Taiwanese Mandopop boyband signed under EMI Music, Taiwan by the name of Lollipop. The group consists of six members, all chosen from Channel [V]  <a href=""https://www.last.fm/music/Lollipop"">Read more on Last.fm</a>",
Twinset,14911,90246,"Twinset (formerly known as The Spider Men) hooked up at the start of their second year at the then Wellington Polytechnic Conservatorium of Music in 1996. Their first gig was at a warehouse party along with various Goth bands who splattered themselves in blood – needless to say, they were in suits & ties.

Since then this fine trio have been a regular live feature in Wellington, going under a variety of names (Los Tigres Del Norte, Moose Head etc) until Leon Matterhorn had the honour of eventually naming them Twinset. <a href=""https://www.last.fm/music/Twinset"">Read more on Last.fm</a>",
Beauty's Confusion,115253,896452,"Philadelphia-based Beauty's Confusion (Jenna & Chris) made music that rode a fine line between electronic pop and gloomy indie rock… BC formed in late 2001 in Florida, originally as a trio. Playing largely in the punk/indie rock circuit, their sequenced Portishead/Hooverphonic keyboards and swirling Curve-influenced guitars couldn't have been more out of place. Beauty's Confusion have remixed several independent and well-known artists, including NYC's Sarah Fimm <a href=""https://www.last.fm/music/Beauty%27s+Confusion"">Read more on Last.fm</a>",
Alison Crockett,17549,81366,"Alison Crockett is a Brooklyn based vocalist, pianist and songwriter whose style is 'steeped' in a deep Soul tradition, with generous helpings of Jazz and Blues. Taking her cue from divas of the past and present such as Erykah Badu, Jill Scott, Donna Summer, Diana Ross and Sarah Vaughn, this Brooklyn, New York based singer/songwriter and pianist is destined for greatness.

Alison Crockett decided early on, that a career in music was to be the path she would travel. <a href=""https://www.last.fm/music/Alison+Crockett"">Read more on Last.fm</a>",
Lewis Taylor,65339,598296,"Lewis Taylor is an eclectic artist and multi-instrumental who writes, produces and plays every instrument on his own material. He is instantly recognizable by his trademark sweet sounding soulful voice, which is often accompanied, and perfectly complemented, by multi-layered vocal harmonies, soaring rock guitar solos and unique production and arrangements. Influenced in equal parts by Todd Rundgren, Scott Walker, Prince, Jimi Hendrix, Marvin Gaye, The Beach Boys and Yes, his music has been described as 'psychedelic soul in the broadest sense'. <a href=""https://www.last.fm/music/Lewis+Taylor"">Read more on Last.fm</a>",
Hooverphonic,1275560,31302677,"Hooverphonic is a Belgian rock/pop group formed in 1995. Though initially placed in the trip-hop genre, they quickly expanded their sound to the point where they could no longer be classified so easily. The band originally called themselves Hoover but later changed their name to Hooverphonic due to other groups using the Hoover name.

The band achieved international recognition through the inclusion of the track 2Wicky (from A New Stereophonic Sound <a href=""https://www.last.fm/music/Hooverphonic"">Read more on Last.fm</a>",Belgium
Radioactive Man,63817,486097,"Keith Tenniswood, aka Radioactive Man, is also a member of Two Lone Swordsmen alongside Andrew Weatherall. <a href=""https://www.last.fm/music/Radioactive+Man"">Read more on Last.fm</a>",
DJ Lhasa,50402,309442,"DJ Lhasa aka Maurizio Braccagni is an italian DJ, he started his experience as DJ in 1987 and released his first record in 1989.
During his DJ nights he plays techno music, especially from north europe, and this style will influence his future artistic direction deeply.

In 1993, under the name of Two Cowboys, he reaches the top of the European Sales Charts with the track titled Everybody Gonfi Gon.
Thanks to this hit, Maurizio B. makes himself known as top deejay playing in many clubs in Europe and remixing many dance and pop acts i. <a href=""https://www.last.fm/music/DJ+Lhasa"">Read more on Last.fm</a>",Italy
Static-X,1534808,44042581,"Static-X was formed in 1994 from the ashes of Wayne Static and Ken Jay's former band, Deep Blue Dream. After searching for members in Chicago, IL, Static and Jay decided to go to Los Angeles to continue their search. There they met Tony Campos from the Mexican death metal band Asesino, and Koichi Fukuda, completing the band's original line-up. Static-X signed with Warner Brothers Records in early 1998.

The band's debut album, Wisconsin Death Trip, was released March 23, 1999. <a href=""https://www.last.fm/music/Static-X"">Read more on Last.fm</a>",Mexico
Lou Bega,981494,5676598,"David Lubega (aka Lou Bega) (born April 13, 1975 in Munich, Germany) is a Latin pop musician famous for his song ""Mambo No. 5"".  This song is a remake of the Perez Prado instrumental from 1952. Bega added new lyrics to the song and sampled the original version extensively.

Bega had a multicultural upbringing as his mother is Sicilian and his father is from Uganda. Bega spent time in Miami during his teenage years.

""Mambo No. 5"" became an instant worldwide hit <a href=""https://www.last.fm/music/Lou+Bega"">Read more on Last.fm</a>",
Four Tet,1305421,47300810,"Four Tet is the name used by Kieran Hebden (born 1977 in Putney, London, UK) for his experimental  electronic music-oriented solo efforts, to differentiate from his work with post-rock band Fridge.

Hebden's solo work typically utilises samples lifted from various sources including hip-hop, electronica, techno, jazz, and folk mixed with his own guitar playing. Four Tet shares some stylistic similarities with other musicians, such as Prefuse 73, who use computer editing techniques that give the music a staccato, cut-up feel. <a href=""https://www.last.fm/music/Four+Tet"">Read more on Last.fm</a>",
Lasgo,449609,4819225,"Lasgo is a Belgian electronic music group formed in 2000 by Peter Luts, Dave McCullen, and vocalist Evi Goffin. The group name was derived from the city name Glasgow, suggested by McCullen and modified to create Lasgo.

In 2008, Peter Luts announced on Belgian radio that Goffin would not return to the group after deciding to focus on motherhood. Luts, in collaboration with the Belgian television channel JIMtv, organized a televised search for a new vocalist, resulting in Jelle Van Dael joining the group as the new singer. <a href=""https://www.last.fm/music/Lasgo"">Read more on Last.fm</a>",Belgium
Orgy,618408,11398761,"Orgy was formed in Los Angeles, California in 1997 and signed to Korn's Elementree record label soon after. They quickly released their first album, ""Candyass."" Soon after, they performed the duty of opening act on the Family Values tour in '98, where they were introduced to many for the first time. Around then, they had their first hit with a cover of New Order's Blue Monday, followed with successful singles for Stitches and Fiction (Dreams in Digital). <a href=""https://www.last.fm/music/Orgy"">Read more on Last.fm</a>",
Sasha,524325,5677082,"There are currently several artists using the name Sasha:

1) Sasha, born Alexander Coe (born September 4, 1969), is a Welsh DJ and record producer. Late Night Tales Presents Sasha: Scene Delete was released in April 2016. He is also known for partnering with English DJ, John Digweed, as Sasha + Digweed. The pair released several mix albums together, including the Northern Exposure series (released between 1996 and 2001). They also released one of the all time best selling mix albums, The Renaissance Mix Collection part 1, in 1994. <a href=""https://www.last.fm/music/Sasha"">Read more on Last.fm</a>",
Fingathing,155137,1522139,"Fingathing are an instrumental jazz / hip-hop band from Manchester, UK, comprising classically trained Double bass player Sneaky and DJ / turntablist Peter Parker.

The duo first performed together as part of the backing band for Rae & Christian before teaming up. Over the course of the years, they have released several full length albums ; 'The Main Event' (2000), 'Superhero Music' (2002) and 'Fingathing and the Big Red Nebula Band' (2004), with a best of compilation following the year after. <a href=""https://www.last.fm/music/Fingathing"">Read more on Last.fm</a>",
Erika,224611,2969220,"There are multiple artists named Erika.
1) Erika Sawajiri (沢尻エリカ) who goes by ERIKA for her music releases, is a Japanese actress, model, gravure idol and singer. She passed the Stardust audition in 1999 after graduating from elementary school. The following year she became part of the idol unit ""ANGEL EYES"" and began modelling for junior fashion magazines like CUTiE and nicola. In 2001 she won the Grand Prize for that year's Seikore and became a regular on the BS news program Harajuku Launchers.  <a href=""https://www.last.fm/music/Erika"">Read more on Last.fm</a>",Japan
Clubringer,6402,35882,biografia no encontrada,
Frou Frou,1976466,35588401,"Frou Frou are an electronic music duo formed in England with two members: Imogen Heap and Guy Sigsworth, active from 2002 to 2003. The duo reformed in 2018 and released a live recording of ""Guitar Song"" on April 19, 2019. 

Frou Frou created an impressive brand of vocal-driven, electronic pop. After the British duo had been collaborating for years without a record deal, the group's debut, Details, was completed for American release on MCA Records in 2002. <a href=""https://www.last.fm/music/Frou+Frou"">Read more on Last.fm</a>",United States
Wax Poetic,267386,2097831,"The New York trip-hop outfit Wax Poetic came together in 1997 under the reign of Turkish-born music guru Ilhan Ersahin. The group originated at the popular and now-defunct club Save the Robots, and consisted of a volatile group of musicians jamming together to create a heavy groove of drum 'n' bass blended with quick dance elements. Ersahin and company signed to Atlantic in the latter '90s and released their debut self-titled album Wax Poetic in June 2000. <a href=""https://www.last.fm/music/Wax+Poetic"">Read more on Last.fm</a>",
Nathan Fake,374694,5507261,"Nathan Fake is a British electronic musician whose lush, moody recordings range from atmospheric tech-house to vivid, shoegaze-influenced downtempo. The pastoral psychedelia of his 2006 debut album, Drowning in a Sea of Love, struck a chord with both critics and fans, gaining the producer a loyal following. His subsequent releases have generally been more uptempo and maintain a sense of urgency and spontaneity. Fake often restricts himself to hardware-based equipment and records tracks in a single take. <a href=""https://www.last.fm/music/Nathan+Fake"">Read more on Last.fm</a>",United Kingdom
Delerium,868844,15114990,"There is more than one artist with this name:

1) Delerium is from Vancouver, British Columbia, Canada, formed in 1987, originally as another side project (Intermix being the more techno-sounding project) of the influential industrial music act, Front Line Assembly.

Delerium has traditionally been a two-person project, but the only constant member throughout its history has been Bill Leeb. After Michael Balch left both Front Line Assembly and Delerium <a href=""https://www.last.fm/music/Delerium"">Read more on Last.fm</a>",United Kingdom
