artista,oyentes,reproducciones,bio_resumen
Hopeton Lewis,87954,426610,"Hopeton Lewis is a Jamaican singer.

Lewis began recording in the mid-1960s, and had one of the earliest rocksteady hits with ""Take It Easy"" in late 1966. He had several more Jamaican hits in the late 1960s and early 1970s, including the first 'herb' song ever recorded in Jamaica, ""Cool Collie"", worked for Duke Reid as an arranger and backing singer, and won the Festival Song Contest in 1970 with ""Boom Shaka Lacka"". He began working as a singer with Byron Lee & the Dragonaires, and in 1971 had a hit with ""Grooving Out On Life"". <a href=""https://www.last.fm/music/Hopeton+Lewis"">Read more on Last.fm</a>"
Ska-P,447668,19801201,"Ska-P is a Spanish ska punk group formed in Vallecas (a neighborhood of Madrid, Spain) in 1994. Most of their songs feature an infectious and energic vibe and feature lyrics about non-conformity, criticism of capitalism and racism, and their defense of equal justice, plus taking part in various multicultural, alternative and anti-globalization festivals. Their song ""Cannabis"", supporting and defending the legalization of said substance, launched them to certain popularity in Spain and parts of Mexico and South America. <a href=""https://www.last.fm/music/Ska-P"">Read more on Last.fm</a>"
Rastrillos,4323,42514,"We are a reggae band from Mexico, our base is D.F, but the members come from diferents parts of the world (Celaya, Cuba, Argentina, Tepalcates, Coyoacanos, etc.). We 've been playing for more than 15 years, we've played with some international artists like Alpha Blondy,Pato Banton, Black Uhuru, Israel Vibration, Jimmy Cliff, Linton Kwesi Jhonson, Michael Frantti, Los Mocosos, los Pericos, Quinto Sol, Cultura Profetica, Arman rock, Chololo, La Lupita <a href=""https://www.last.fm/music/+noredirect/Rastrillos"">Read more on Last.fm</a>"
Gondwana,177781,3350588,"There are at least three bands called Gondwana.

1. Gondwana is a reggae musical group from La Pincoya, Santiago, Chile, founded in 1987 by I Locks Labbé. Their leader, Quique Neira (known as the chilean Bob Marley) was the soul of the band, the first one to be noticed with real success in Chile, and left the band to begin a single career. Now, the band has another singer, Kingo, and plays in important festivals around Latin America, with lot of fans everywhere. <a href=""https://www.last.fm/music/Gondwana"">Read more on Last.fm</a>"
The Pioneers,181158,1225949,"The Pioneers are a Jamaican reggae vocal trio, whose main period of success was in the 1960s. The trio has had different line-ups, and still occasionally performs.
The Pioneers were formed in 1962 by brothers Sydney and Derrick Crooks, and their friend Winston Hewitt. Their early recordings ""Good Nanny"" and ""I'll Never Come Running Back to You"" were self-produced at the Treasure Isle studio using money lent to the Crooks brothers by their mother and appeared on Ken Lack's Caltone label. <a href=""https://www.last.fm/music/The+Pioneers"">Read more on Last.fm</a>"
Rupee,111410,692448,"Rupert Clarke (born September 10, 1975), best known by his stage name Rupee, is a soca musician from Barbados. He was born in military barracks in Germany to a German mother and a Barbadian father, who was serving in the British armed forces at the time. He is signed to Atlantic Records. <a href=""https://www.last.fm/music/Rupee"">Read more on Last.fm</a>"
Terry Linen,24509,136456,"Terry Linen is easily one of reggae music's greatest talents to have emerged in the new millennium. Blessed with a brilliantly distinctive voice, this diminutive singer has cemented a place in the hearts of reggae lovers worldwide with his hit songs, with their haunting melodies and wonderful songwriting. 

Born Kiplin Simpson, Linen grew up in the district of Red Bank, where he attended the Red Bank Primary and Red Bank High schools. Being the first child for his mother <a href=""https://www.last.fm/music/Terry+Linen"">Read more on Last.fm</a>"
Fishbone,247633,3005406,"Fishbone is an American rock band formed in 1979 in Los Angeles, California, which plays a fusion of ska, punk, funk, heavy metal, reggae, and soul. AllMusic has described the group as ""one of the most distinctive and eclectic alternative rock bands of the late '80s. With their hyperactive, self-conscious diversity, goofy sense of humor, and sharp social commentary, the group gained a sizable cult following yet they were never able to earn a mainstream audience."" <a href=""https://www.last.fm/music/Fishbone"">Read more on Last.fm</a>"
Mr. Rango,3013,30972,biografia no encontrada
Rhythm & Sound,162697,2518152,"Rhythm & Sound is a contemporary dub project initiated and produced by Moritz von Oswald and Mark Ernestus, originated in 1996 in Berlin, Germany. Amongst other Oswald and Ernestus aliases is Basic Channel and they run a label under the same name, which upon closure in 1995 was followed by the infamous Chain Reaction.

One of several anonymous projects linked to the mysterious Berlin dub-techno duo Moritz von Oswald and Mark Ernestus, Rhythm & Sound released a series of 10"" records on Burial Mix and 12"" records on Rhythm & Sound <a href=""https://www.last.fm/music/Rhythm+&+Sound"">Read more on Last.fm</a>"
Cutty Ranks,130781,770229,"Cutty Ranks, born Philip Thomas in Jamaica in 1965, is a reggae and dancehall artist. His stage name stems from his sometime employment as a butcher.

At the age of 14, he began his career as a reggae artist on sound systems such as Gemini, Rebel Tone, and Papa Roots. Early on in his dee jaying career he was influenced by Josey Wales. He joined Killamanjaro where he worked alongside Early B, Super Cat, Puddy Roots, and Little Twitch. His prominence on sound systems evolved in the mid-to-late 1980s on SturMars and Metromedia <a href=""https://www.last.fm/music/Cutty+Ranks"">Read more on Last.fm</a>"
Elephant Man,267914,2240515,"Two artists go under the name Elephant Man:

1) Elephant Man (born September 11, 1976 as O'Neil Bryant in Kingston, Jamaica, also known as The Energy God) is one of the most colorful characters on the dancehall scene.

His stagename stemmed from his large ears, which led to the nickname Dumbo in his youth. ""Ele"" started out his musical career as a member of the Scare Dem Crew, later continuing as a solo artist. He was later characterized for several trademarks <a href=""https://www.last.fm/music/Elephant+Man"">Read more on Last.fm</a>"
Aswad,292026,2163048,"Aswad (""Black"" in Arabic) is a long-lasting British reggae group, noted for adding strong R&B, soul, and soca influences to the reggae sound. They have been performing since the early 1970s, and have released a total of twenty-one albums.

As naturalised children of immigrants from the Caribbean, part of the aftermath of World War II, the children were moved to London. They attended a local high school near Ladbroke Grove, and various junior schools as Tan Tan children of immigrants from the Caribbean around West London in 1975. <a href=""https://www.last.fm/music/Aswad"">Read more on Last.fm</a>"
El Gran Silencio,142959,1710504,"El Gran Silencio is a rock en español band from Monterrey, Nuevo León, Mexico that blends a variety of rock influences with regional musical forms, particularly popular in Monterrey. Their part was central in the Avanzada Regia musical movement during the 1990s and 2000s. Current members include the Cano Hernandez brothers, Tony Hernandez, Issac ""Campa"" Valdez, Wiwa, and Esquivel Alvarado. Their first album (1999) was titled ""Libres y locos"", which means 'Free and loony'  in Spanish <a href=""https://www.last.fm/music/El+Gran+Silencio"">Read more on Last.fm</a>"
Seeed,541971,16379367,"Seeed, formed in 1998 in Berlin, Germany, plays  dancehall,  reggae, and hip hop. 

The group currently consists of 10 people:
Enuff aka Peter Fox aka Pierre Baigorry (vocals)
Eased aka Dellé aka Frank A. Dellé (vocals)
Alfi Trowers (percussions)
Based (drums)
Moritz Delgado (sax)
DJ Luke (DJ) - (since 2005)
Jerome ""Tchamp"" Bugnon (trombone)
""Dubmaster"" Reibold (keyboard)
""Rudeboy"" Rudy (guitar)
Tobsen Cordes (bass)

Former members:
Ear aka Boundzound aka Demba Nabé (vocals) - (1998-2018, deceased) <a href=""https://www.last.fm/music/Seeed"">Read more on Last.fm</a>"
Discípulos De Otilla,32,118,biografia no encontrada
Sasha,523864,5671553,"There are currently several artists using the name Sasha:

1) Sasha, born Alexander Coe (born September 4, 1969), is a Welsh DJ and record producer. Late Night Tales Presents Sasha: Scene Delete was released in April 2016. He is also known for partnering with English DJ, John Digweed, as Sasha + Digweed. The pair released several mix albums together, including the Northern Exposure series (released between 1996 and 2001). They also released one of the all time best selling mix albums, The Renaissance Mix Collection part 1, in 1994. <a href=""https://www.last.fm/music/Sasha"">Read more on Last.fm</a>"
The Jamaicans,71103,301601,"The Jamaicans were a Jamaican rocksteady vocal group formed in 1967 and disbanded in 1972. Mostly known for the songs ""Ba Ba Boom"" (that won the Island's Festival Song Contest in 1967) and ""Things You Say You Love"" produced by Arthur ""Duke"" Reid for Treasure Isle.

The Jamaicans (Tommy Cowan, Norris Weir, Martin Williams) burst on the scene in 1967 by winning the second Jamaican Festival song contest with a bit of nonsensical rocksteady called ""Ba Ba Boom,"" a piece that had been written by Cowan and Weir. <a href=""https://www.last.fm/music/The+Jamaicans"">Read more on Last.fm</a>"
Dub Inc,32956,740697,biografia no encontrada
Axe Bahia,47324,304208,biografia no encontrada
The Uniques,83495,450919,"The Uniques is the name of more than one band:
1) Jamaican rocksteady 2) 60s US garage band 3) Doo Wop 4) Slovak electroclash

1)  The Uniques were a Jamaican rocksteady and reggae vocal group, formed in 1966 and active with varying line-ups until the late 1970s.
The Uniques originally formed as a vocal harmony trio of Roy Shirley, Slim Smith, and Franklyn White, (the latter two from The Techniques) releasing a few singles in 1966 including the R&B influenced ""Do Me Good"" for Ken Lack's (Keith Calneck) Caltone imprint. <a href=""https://www.last.fm/music/The+Uniques"">Read more on Last.fm</a>"
Barry Biggs,48399,233382,"Barry Biggs (born 1947, although some accounts list 1953;[1] St. Andrew, Jamaica) is a reggae singer, best known in the UK for his cover of the Blue Magic song, ""Sideshow"", which got to #3 in the UK Singles Chart in 1977

Biggs worked as an recording engineer and cameraman with the Jamaican Broadcasting Company, and also spent time as a member of the band the Astronauts, before becoming the lead singer for Byron Lee's Dragonaires.[1][3]
It was at <a href=""https://www.last.fm/music/Barry+Biggs"">Read more on Last.fm</a>"
The Slackers,170347,4877588,"  One of New York's most notable ska bands, the Slackers formed in Brooklyn in 1991 and have played the world over many times since.  Their first release was an eponymous self-released album, distributed by Moon Records in 1993 on cassette. Their first real debut is ""Better Late Than Never"" on Moon Ska Records. Coming out in 1996, this album saw a movement to more traditional ska music, as opposed to their earlier two-tone and garage influences. It was produced by Victor Rice <a href=""https://www.last.fm/music/The+Slackers"">Read more on Last.fm</a>"
Matisyahu,961385,24497632,"Matisyahu (""Gift of God""), Hebrew stagename for Matthew Paul Miller ⋆ 30 June 1979 in West Chester, Pennsylvania, is a spiritually minded American-Jewish singer, beatboxer, singjay and songwriter. He grew up in White Plains, New York. His music is an interplay between reggae, rock, hip-hop, and reggae fusion. His debute studioalbum Shake Off the Dust... Arise was released 2004 and his latest, Akeda 2014. Well-known songs are King Without A Crown, One Day and Happy Hanukkah. <a href=""https://www.last.fm/music/Matisyahu"">Read more on Last.fm</a>"
Giuliano Palma & The BlueBeaters,26656,392246,"Formed in 1994, the Bluebeaters comprises musicians of the Italian groups Casino Royale (Giuliano Palma, Ferdinando Masi, Patrick Benifei), of Africa Unite (Bunna, Paolo Parpaglione, Cato Senatore) and of the Fratelli di Soledad (Zorro).

The Bluebeaters are a rising cover band in Italy and perform a mix of reggae (eg. “Coming in from the cold” by Bob Marley and The Wailers), ska (eg. ""Shame and Scandal” of Lord Melody & Sir Lancelot) and rocksteady. <a href=""https://www.last.fm/music/Giuliano+Palma+&+The+BlueBeaters"">Read more on Last.fm</a>"
Long Beach Dub Allstars,85072,1074266,"From Wikipedia, the free encyclopedia
Jump to: navigation, search
Long Beach Dub Allstars
Origin 	Long Beach, California, United States
Genre(s) 	Reggae
Punk rock
Ska
Dub reggae
Years active 	1997–2002
Label(s) 	DreamWorks
Associated acts 	Sublime
Long Beach Shortbus
Eyes Adrift
Volcano
Former members
Eric Wilson
Jack Maness
Marshall Goodman
Bud Gaugh
Tim Wu
Opie Ortiz
RAS-1
Miguel Happoldt
Todd Foreman
Isaiah Ikey Owens

The Long Beach Dub Allstars was a dub reggae/ska/rock band formed in 1997 and disbanded in 2002. <a href=""https://www.last.fm/music/+noredirect/Long+Beach+Dub+Allstars"">Read more on Last.fm</a>"
Los Calzones,19145,195456,"Los Calzones (the underpants) from Argentina is a a Ska / Rock group which is a follow-up to Los Calzones Rotos (the ragged underpants) started out in Buenos Aires in 1988. Inspired by the like of Madness, Bad Manners, The Specials, The Skatalites and The Selecter at a time when ska was out of fashion.

Nevertheless, the group went on and founded their own label to show their independence. Halfway through1991, Los Calzones Rotos, their debut, appeared <a href=""https://www.last.fm/music/Los+Calzones"">Read more on Last.fm</a>"
Otis Gayle,9583,37778,"lovers rock <a href=""https://www.last.fm/music/Otis+Gayle"">Read more on Last.fm</a>"
Eve,1672847,46768015,"There are at least five artists using this name:
1. Eve (いぶ ibu), also known as Keitora (けいとら) and Kurowa (クロわ), is a Japanese singer and utaite who gained recognition on platforms such as Niconico and YouTube. He has composed original works, participated in live events, and been featured in utaite-centric magazines including Utattemita no Hon and 2.5Song MATE. Eve is also the creator of the ongoing manga ""Kara no Kioku"" and has over 4.5 million subscribers on YouTube. <a href=""https://www.last.fm/music/Eve"">Read more on Last.fm</a>"
Phoebe 1,687,2900,biografia no encontrada
10 Ft. Ganja Plant,229746,2604439,"10 Ft. Ganja Plant albums never offer musician credits, but the group's identity is no secret: This is a side project by members of John Brown's Body, one of the finest roots reggae bands in America. Usually side projects represent something of a stylistic departure, but in the case of John Brown's Body, the variation sounds an awful lot like the theme - not that that's a bad thing by any means. What does seem to set 10 Ft. Ganja Plant apart from its parent organization is an even greater emphasis on mystical <a href=""https://www.last.fm/music/10+Ft.+Ganja+Plant"">Read more on Last.fm</a>"
Chaka Demus & Pliers,368381,2029548,"Chaka Demus & Pliers are Jamaicans John Taylor (Chaka Demus) and Everton Bonner (Pliers) active together since 1992: one of the most successful acts in Jamaican music; the first Jamaican act to place three consecutive singles in the top five of the British music charts.  Both Chaka Demus and Pliers had established successful solo careers prior to combining their efforts. They are best known for their hits ""Murder She Wrote"" and ""Tease Me"". They had <a href=""https://www.last.fm/music/Chaka+Demus+&+Pliers"">Read more on Last.fm</a>"
Dezarie,63609,1138030,"Roots empress Dezarie has blessed the reggae community with the deliverance of her newest recording Gracious Mama Africa. Released on the Afrikan Roots Lab record label, this album emerges from the seeds planted on her amazing debut album of 2001 FYA. Gracious Mama Africa transports the incredible voice of Dezarie  to a whole new level - the highest heights. Her foundation is firmly established in songs such as Travelers and the title track. The brilliance and clarity of Dezaries voice is reverently unveiled on Exhalt. <a href=""https://www.last.fm/music/Dezarie"">Read more on Last.fm</a>"
Wayne Wonder,272981,1809038,"Wayne Wonder (born Von Wayne Charles in Buff Bay, Portland, Jamaica on 26 July 1972) is a Jamaican reggae fusion (specifically reggae / R&B) artist. While his early recordings were dancehall and reggae, he later moved towards hip hop and rap.

He auditioned at Sonic Sounds studio, but while Sly Dunbar was impressed, his touring commitments with Black Uhuru prevented him from signing Wonder. He had more success, however, with King Tubby, who produced his first single, ""Long and Lasting Love"", in 1985, with two more following. <a href=""https://www.last.fm/music/Wayne+Wonder"">Read more on Last.fm</a>"
Wyclef Jean,855021,9073654,"Wyclef Jean (born October 17, 1972 in Croix-des-Bouquets, Haïti) is an American rapper, producer, and member of the superstar hip hop trio The Fugees, known now for a series of high-profile hit singles.

Jean moved to Brooklyn, New York when he was nine, then to Northern New Jersey, where he began playing the guitar and studying jazz in his high school. In 1987, Jean, his friend (so close they told people they were cousins growing up) Prakazrel Michel (Pras) and his classmate <a href=""https://www.last.fm/music/Wyclef+Jean"">Read more on Last.fm</a>"
Manasseh,17437,104839,"Manasseh is a name of at least two artists:

[1] A mononym of Nick Manasseh, who began producing music for sound system exclusives around 1986 and after hooking up with Scruff Guilder in 1987 started to concentrate on a particular project, which eventually became Sound Iration in Dub. The first single ""Seventh Seal"" was cut on the 8/8/88 and was big on the roots scene (and Shaka's sound !), and was widely credited with being the first new wave UK dub track. <a href=""https://www.last.fm/music/Manasseh"">Read more on Last.fm</a>"
Lil Jon & The East Side Boyz,901041,5735770,"Smith took the stage name Lil Jon and formed musical group Lil Jon & the East Side Boyz with rappers Big Sam (born Sammie Dernard Norris) and Lil' Bo (born Wendell Maurice Neal). The group signed to the Atlanta-based Mirror Image Records and were distributed by Ichiban Records. In 1997, Lil Jon & the East Side Boyz debuted with Get Crunk, Who U Wit: Da Album. It included singles ""Who U Wit?"" and ""Shawty Freak a Lil' Sumthin'"", the latter of which came out in 1998. <a href=""https://www.last.fm/music/Lil+Jon+&+The+East+Side+Boyz"">Read more on Last.fm</a>"
Jazz Jamaica All Stars,12867,86581,"In 1991, inspired by the rhythms of traditional Jamaican music and the largely improvisational nature of jazz, original Jazz Warrior, and veteran jazz double bassist, Gary Crosby turned a musical concept into a joyful reality.

Gary’s concept was to create a quintessential fusion of mento, ska, reggae and jazz, playing classic and modern jazz standards alongside Jamaican folksongs. To achieve this, he gathered together a group of musicians drawn from the jazz and reggae circuits, each of whom is a distinguished musician in his own right. <a href=""https://www.last.fm/music/Jazz+Jamaica+All+Stars"">Read more on Last.fm</a>"
Zenzile,103275,1401304,"Zenzile was born in the late 90's in France, and are considered as the initiators of so called ""dub"" french scene along with High tone. French dub is mainly instrumental with rich use of effects and delays like reggae producers used to do with early reggae riddims. Zenzile moved towards rock in their numerous albums and EP's, and started inviting guest singers Jean Gomis, Jamika Ajalon (who sung the unforgettable Smell The Roses) and David Alderman on ""Living in Monochrome"" album. <a href=""https://www.last.fm/music/Zenzile"">Read more on Last.fm</a>"
The Upsetters,347603,3696035,"There are at least four bands with the name The Upsetters:
1) The Upsetters was the name given to the house band for Jamaican reggae producer Lee ""Scratch"" Perry. 
2) The Upsetters was the name of Little Richard's backing band playing R&B and rock 'n' roll during the 1950s. 
3) The Upsetters was a South African garage rock band active in the 1960s. 
4) The Upsetters was a soul band. 

1. ""The Upsetters"" was the name of the studio backing band of Jamaica Reggae producer Lee ""Scratch"" Perry, a. <a href=""https://www.last.fm/music/The+Upsetters"">Read more on Last.fm</a>"
Massilia Sound System,53394,797523,"Massilia Sound System is a reggae band formed in Marseille in the 1980s. They developed a Provençal hybrid version of reggae, rub-a-dub and raggamuffin with lyrics in the French and Occitan languages, sometimes referred to as trobamuffin (from the Occitan word trobador and the musical style raggamuffin). They incorporate many rhythms, beats and samples from the local tradition or other musical colleagues, and their lyrics indicate a profound parochialism for Marseille and the south of France in general. <a href=""https://www.last.fm/music/Massilia+Sound+System"">Read more on Last.fm</a>"
Planta e Raiz,119158,2076275,"Planta e Raiz é um grande nome do reggae nacional. Formada em 98 começou a carreira apresentando-se na capital e no litoral paulista tocando covers de Bob Marley, Gilberto Gil e Edson Gomes. O primeiro álbum, Que Brota da Terra, alavancou o nome da banda e os levou a se apresentar ao lado de grandes nomes do reggae. Seu segundo álbum, Esse é o Remédio, foi um grande sucesso, as músicas Com Certeza e Aquele Lugar, obtiveram os primeiros lugares nas principais rádios do segmento jovem. <a href=""https://www.last.fm/music/Planta+e+Raiz"">Read more on Last.fm</a>"
Dr. Ring Ding,12347,133395,"
Dr. Ring-Ding a.k.a. Richie Senior was born in 1970 in Münster, Germany to a multi-cultural and musical household. His introduction to music began with singing along with his family and learning the recorder (deathly boring) but he soon switched to more interesting instruments such as the trombone. From 1987 on he played in the horn section of El Bosso & die Ping Pongs, one of Germany‘s most famous Ska bands and the only one of its time which sang in German. From this experience he came to love Jamaican music. <a href=""https://www.last.fm/music/Dr.+Ring+Ding"">Read more on Last.fm</a>"
Inspector,132824,2248427,"There are 2 bands with this name:

1. Mexican ska revival ensemble Inspector comprises singer Javier Sánchez aka Big Javi, drummer David Martínez aka Tribi, bassist Arnoldo Ortega aka Lolo, sax players Jaime González aka Jimmy and Jesús Arriaga aka Padrino, guitarist Alejandro Ortega aka Güero, keyboardist Homero Ontiveros aka Marango and trumpeter Jesús Lemo. The band debuted in 1995 with the independently produced Misión Ska, featuring five original songs. <a href=""https://www.last.fm/music/Inspector"">Read more on Last.fm</a>"
Margareth Menezes,68291,597870,"Margareth Menezes (born October 13, 1962) is a Brazilian singer from Salvador, Bahia.

Her style is considered axé but her music also steers into samba and MPB territory, also drawing on African rhythms and reggae at times. Menezes is best known in Brazil for her song ""Me Abraça e Me Beija"", a major hit in 1990. She also scored another hit with ""Dandalunda"", a song which became the unofficial anthem of the 2003 Salvador carnival. <a href=""https://www.last.fm/music/Margareth+Menezes"">Read more on Last.fm</a>"
New York Ska-Jazz Ensemble,75977,1192657,"New York Ska-Jazz Ensemble is a group of New York ska musicians linking together ska and jazz music. 

Members:
Freddie Reiter (saxophone, flute, vocals),Mark Paquin (trombone, vocals)
Yao Dinizulu (drums), Alberto Tarin (guitar), Earl Appleton (keyboards)

ADDITIONAL MUSICIANS

Mitch Margold (keyboards),Cary Brown (keyboards), Gregg Leventhal (bass)
Lee Archibald(guitar, bass, vocals), Chris Weigers (bass)

PAST MEMBERS

Johnnathan McCain (drums <a href=""https://www.last.fm/music/New+York+Ska-Jazz+Ensemble"">Read more on Last.fm</a>"
Asian Dub Foundation,461171,9353165,"Asian Dub Foundation is an alternative electronica band from London, England. Formed in 1993, their style blends breakbeat, dub, dancehall, hip-hop and reggae with distinct Asian influences. 

Band members include John Pandit (aka Pandit G) (turntables), Deeder Zaman (aka Master D) (vocals) and Aniruddha Das (aka Dr Das) (bass), later joined by Steve Chandra Savale (aka Chandrasonic) (guitar and adf mastermind), Sanjay Tailor (aka Sun-J) (midi, soundeffects), and Bubble-E (dancer).  <a href=""https://www.last.fm/music/Asian+Dub+Foundation"">Read more on Last.fm</a>"
Glen Washington,46931,304772,"Glen Washington is a Jamaican Reggae/Soca singer, songwriter and drummer.

Washington evolved from humble beginnings. Born in the parish of Clarendon, Jamaica he is currently a popular artist in reggae music. this has come after many years of recording and waiting in the wings. In 1997, he released his debut album Brother To Brother and, to date, has released 10 albums.

Washington began his musical career in the early seventies as the lead singer for the group Names And Faces. <a href=""https://www.last.fm/music/Glen+Washington"">Read more on Last.fm</a>"
Ara Ketu,78566,673567,"The band Ara Ketu derived from the Carnival bloco of the same name and was founded in 1980. Before reaching success in Brazil, they became popular in Europe with an entertaining mix of Afro-Bahian percussive grooves with electronic paraphernalia and performing in colorful outfits. The group also added a vocalist (Tatau) and a horn section, counting up to 12 members. Since its beginning, the group developed a work of research on traditional African music keeping in perspective Brazilian and international pop music... <a href=""https://www.last.fm/music/Ara+Ketu"">Read more on Last.fm</a>"
Ventania,56208,1224023,"Wilson da Silva, mais conhecido como Ventania (Pariqüeraçu, 21 de agosto de 1962), é um cantor, e andarilho, cuja inspiração musical vem do movimento hippie, dos anos 60 e 70. Atualmente, Ventania mora em São Thomé das Letras, Minas Gerais.

Uma das mais importantes influências musicais de Ventania, é o cantor e compositor Raul Seixas, o ""Raulzito"", marco histórico do rock nacional e da mistura com influências ""alternativas"".

Biografia e carreira <a href=""https://www.last.fm/music/Ventania"">Read more on Last.fm</a>"
