artista,oyentes,reproducciones,bio_resumen,pais
J.B. Lenoir,105961,663645,"J. B. Lenoir /ləˈnɔːr/ (Monticello, Mississippi, March 5, 1929  – Urbana, Illinois, April 29, 1967) was an African American blues guitarist and singer-songwriter, active in the 1950s and 1960s Chicago blues scene.
Lenoir's guitar-playing father introduced him to the music of Blind Lemon Jefferson, whose music became a major influence. During the early 1940s, Lenoir worked with blues artists Sonny Boy Williamson II and Elmore James in New Orleans. Lenoir would eventually find musical influence in Arthur Crudup and Lightnin' Hopkins. <a href=""https://www.last.fm/music/J.B.+Lenoir"">Read more on Last.fm</a>",United States
Bill Wyman's Rhythm Kings,9937,216487,"Bill Wyman's Rhythm Kings are a blues-rock band founded in 1997 and led by the Rolling Stones' bass guitarist Bill Wyman. Together with his lifelong musical partner Terry Taylor. This ""Dirty Boys"" duo produce, arrange and compose original material for the award-winning band. Members of the band, eithering touring or as studio guests, has included such stars as Peter Frampton, Albert Lee, Gary Brooker, Georgie Fame, Andy Fairweather-Low, Mark Knopfler and Martin Taylor. <a href=""https://www.last.fm/music/Bill+Wyman%27s+Rhythm+Kings"">Read more on Last.fm</a>",Unknown
Vargas Blues Band,22103,264146,"”Javier Vargas was born in Madrid. When he was nine years old, he and his family moved to Argentina, where his parents had lived during the Spanish Civil War. They lived in Mendoza, San Luis, Buenos Aires and also in Mar del Plata, where he started playing the guitar with young musicians in places such as garages. He took guitar lessons, and he also used to go clubs to listen to groups playing blues live.

The first guitar Vargas had, present from his father, it was a Spanish guitar with naylon strings. <a href=""https://www.last.fm/music/Vargas+Blues+Band"">Read more on Last.fm</a>",Spain
Lighthouse Family,565149,6540576,"Lighthouse Family was a British pop-soul duo formed in 1993 that rose to prominence in the mid-1990s and initially remained active until 2003. The duo reformed during 2010 to 2011 and again from 2019 before splitting in 2022. 

The duo comprised vocalist Tunde Baiyewu (born in London on 25 November 1968) and keyboard player Paul Tucker, (born in London on 12 August 1968) and formed in 1993 in Newcastle upon Tyne, England after meeting at college. Their 1995 debut album ""Ocean Drive"" sold more than 1. <a href=""https://www.last.fm/music/Lighthouse+Family"">Read more on Last.fm</a>",United Kingdom
Dick Brave & The Backbeats,54014,805885,"Dick Brave & The Backbeats is a rockabilly cover band from germany best known for their electrifing 50s-style performances of pop/rock classics such as Depeche Mode's ""I Just Can't Get Enough"", Green Day's ""American Idiot"" or the Queens Of The Stone Age's ""No One Knows"". 

Though band leader Dick Brave claims to be canadian, the project actually marks the unlikely evolution of german pop singer Sasha - a frequent guest in the pop charts during the 1990s with hits like I Feel Lonely, If You Believe or Young Deenay's Walk On By. <a href=""https://www.last.fm/music/Dick+Brave+&+The+Backbeats"">Read more on Last.fm</a>",Germany
Ms. Lauryn Hill,1326796,35386645,"Lauryn Noelle Hill (born May 26, 1975) is an American rapper, singer, songwriter, record producer, and actress. She is celebrated as one of the most influential musical artists of her generation. Hill is credited with breaking barriers for female rappers, contributing to the mainstream success of both hip-hop and neo soul, and blending rap with melodic vocals. She has been honored as one of the 50 Great Voices by NPR, and one of the 200 Greatest Singers of All Time by Rolling Stone. <a href=""https://www.last.fm/music/Ms.+Lauryn+Hill"">Read more on Last.fm</a>",United States
Joe Dassin,523163,7352775,"Joseph Ira Dassin (November 5, 1938 - August 20, 1980) was a French-speaking American folk, pop and rock musician.

Dassin was born in New York City to Jules Dassin (Yiddish actor and film noir director) and Béatrice Launer. He began his childhood first in New York and Los Angeles, California. However after his father became a victim of the anti-communist policies of Senator Joseph McCarthy, he and his family moved from place to place across Europe. <a href=""https://www.last.fm/music/Joe+Dassin"">Read more on Last.fm</a>",United States
Ann Nesby,20294,152725,"Formerly the lead vocalist for the 30-piece gospel choir Sounds of Blackness, Ann Nesby struck out on her own in 1996 with an album for the Perspective label, Ann Nesby 1996. With the help of super-producers Jam & Lewis, the R&B-oriented LP scored a hit with ""I'm Here for You."" Nesby has contributed to several soundtracks (Batman, Mo' Money, Demolition Man) and tribute albums (to Curtis Mayfield, Marvin Gaye, John Lennon). She has also won two Grammy awards: one as part of Sounds of Blackness for the 1991 album Evolution of Gospel <a href=""https://www.last.fm/music/Ann+Nesby"">Read more on Last.fm</a>",Unknown
Johnny Burnette & The Rock 'n' Roll Trio,48709,292140,"Johnny Burnette & The Rock 'n' Roll Trio was an American rockabilly group formed in Memphis, Tennessee, during the 1950s. Later recordings were attributed to The Johnny Burnette Trio. The members of the Trio were Dorsey Burnette, his younger brother Johnny Burnette, and a friend Paul Burlison. Dorsey and Johnny Burnette were both natives of Memphis, having been born there in 1932 and 1934 respectively. Paul Burlison was born in Brownsville, Tennessee in 1929, but moved to Memphis with his family in 1937. <a href=""https://www.last.fm/music/Johnny+Burnette+&+The+Rock+%27n%27+Roll+Trio"">Read more on Last.fm</a>",United States
Gov't Mule,297117,5745334,"Gov't Mule is a southern rock/jam band formed in 1994 as a side project to The Allman Brothers Band, but has taken on a life of its own. Like many jam bands, Gov't Mule does not get much radio airplay but is popular due to constant touring and intense fan loyalty. 

When the Allman Brothers Band reformed in 1989 in response to the popularity of the Dreams box set, Warren Haynes was added on lead guitar and Allen Woody on bass. The two shared a love for '60s power trios, like Cream, Jimi Hendrix Experience, and James Gang. <a href=""https://www.last.fm/music/Gov%27t+Mule"">Read more on Last.fm</a>",Unknown
Patrick Yandall,11358,80845,"Patrick Yandall. Contemporary and smooth jazz guitarist with 14 international releases. He has been featured in Jazziz, Smooth Jazz News, Jazz Times, Guitar Player, and many other print and internet media. A producer and session guitarist based in San Diego, CA. His music has been used in feature film, Television, commercials, Internet media, The Weather Channel, Music Choice, and more! Producer and session musician. Influenced by Larry Carlton, George Benson <a href=""https://www.last.fm/music/Patrick+Yandall"">Read more on Last.fm</a>",Unknown
Sista Monica,1603,7736,"Sista Monica Parker, aka the “Lioness of the Blues,” is an award-winning blues, soul, and gospel singer, songwriter, producer, public speaker, director and minister of music. A captivating, dynamic performer, today she is one of the most admired women on the international music and festival scene. 

Sista Monica started singing as a young girl in the church choir in the Midwest between Chicago, Illinois, Gary, Indiana (her home town) and Detroit, Michigan. <a href=""https://www.last.fm/music/Sista+Monica"">Read more on Last.fm</a>",Unknown
Christian Padovan,4648,19259,biografia no encontrada,Unknown
Eric Bibb,120830,1454411,"Eric Bibb (b. 1951) is an American blues singer and guitarist, based in London, England, who has made his career largely in Europe.

Bibb was born on 16th August 1951 in New York into a musical family. His  father, Leon Bibb, is a trained singer who sang in musical theatre and made a name for himself as part of the 1960s New York folk scene. His uncle was the world-famous jazz pianist and composer John Lewis, of the Modern Jazz Quartet. Family friends included Pete Seeger, Odetta, and actor/singer/activist Paul Robeson, Bibb'sgodfather. <a href=""https://www.last.fm/music/Eric+Bibb"">Read more on Last.fm</a>",United States
The Brian Setzer Orchestra,320671,3873256,"Brian Setzer (born April 10, 1959 in New York) is an American guitarist, singer and songwriter whose popular big band orchestra is most appreciated commercially for their swinging take on Christmas holiday classics.

Early in his career Setzer was a member of the NYC band Bloodless Pharaohs, and later fronted the popular rockabilly revival band, Stray Cats. The Stray Cats particularly caught America's attention with the 1982 album Built for Speed <a href=""https://www.last.fm/music/The+Brian+Setzer+Orchestra"">Read more on Last.fm</a>",United States
Slim Harpo,179297,1149560,"Slim Harpo (11 January 1924 – 31 January 1970) was a blues musician.

Born James Moore in Lobdel, Louisiana, the eldest in an orphaned family, Moore worked as a longshoreman and building worker during the late 1930s and early 1940s. One of the foremost proponents of post-war rural blues, he began performing in Baton Rouge bars under the name Harmonica Slim. He later accompanied Lightning Slim, his brother-in-law, both live and in the studio, before commencing his own recording career in 1957. <a href=""https://www.last.fm/music/Slim+Harpo"">Read more on Last.fm</a>",Unknown
Los Lonely Boys,233722,2133412,"Los Lonely Boys is an American Chicano rock power trio from San Angelo, Texas. The band formed in 1996 and plays a style of music they call ""Texican Rock n' Roll,"" combining elements of rock and roll, Texas blues, brown-eyed soul, country, and Tejano. The band consists of three brothers: Henry Garza (guitar, vocals), Jojo Garza (bass, vocals), and Ringo Garza (drums, vocals).

The three brothers emerged as a group in Nashville in the 1990s. After moving back to their home state of Texas they recorded their debut album in 2003. <a href=""https://www.last.fm/music/Los+Lonely+Boys"">Read more on Last.fm</a>",United States
Seatbelts,528836,13148882,"

シートベルツ (Seatbelts), the name of the band, according to the fictional description given in the anime series Cowboy Bebop, derives from how the performers wear seatbelts to be safe while they play hardcore jam sessions.

The band performed the whole soundtrack of the anime series Cowboy Bebop and produced a total of seven albums and one live DVD. Their style is very diverse and ranges from straightforward big band jazz, blues, acoustic ballads, hard rock, country, funk to electronic, hip-hop and experimental compositions/elements. <a href=""https://www.last.fm/music/+noredirect/Seatbelts"">Read more on Last.fm</a>",Unknown
Stevie Ray Vaughan,1137189,17905282,"Stephen (""Stevie"") Ray Vaughan, born in Dallas, Texas (October 3, 1954 – August 27, 1990) was an American blues guitar legend, and is known as one of the most influential blues musicians in history.

Stevie Ray had been in numerous bands before joining blues rock combo Stevie Ray Vaughan and Double Trouble in the late 1970's.
 
Stevie Ray Vaughan and Double Trouble's debut album was released in 1983. The critically acclaimed Texas Flood (1983) featured the top-20 hit Pride and Joy and sold well in both blues and rock circles.  <a href=""https://www.last.fm/music/Stevie+Ray+Vaughan"">Read more on Last.fm</a>",United States
John Littlejohn,5634,21082,"John Wesley Funchess (April 16, 1931 – February 1, 1994) known professionally as John (or Johnny) Littlejohn, was an American blues slide guitarist. He was active on the Chicago blues circuit from the 1950s to the 1980s.

Born in Lake, Mississippi, Littlejohn first learned to play the blues from Henry Martin, a friend of his father. In 1946 he left home and traveled widely, spending time in Jackson, Mississippi, Arkansas, Rochester, New York, and Gary, Indiana. <a href=""https://www.last.fm/music/John+Littlejohn"">Read more on Last.fm</a>",United States
Albert Lee & Hogan's Heroes,8097,44490,biografia no encontrada,Unknown
Horace Silver,523349,4367048,"Horace Silver (September 2, 1928 - June 18, 2014) was an American jazz pianist and composer. 
He is known for his distinctive humorous and funky playing style, and for his pioneering contributions to hard bop. Silver was influenced by a wide range of musical styles, notably gospel music, African music, and Latin American music. Silver began his career as a saxophonist, but later switched to piano. His playing was highly influenced by the style of Bud Powell.  <a href=""https://www.last.fm/music/Horace+Silver"">Read more on Last.fm</a>",United States
Mark Knopfler,821170,24127457,"Mark Freuder Knopfler, OBE (born 12 August 1949) is a British singer, guitarist, composer, songwriter, record producer, and film score composer. He was the lead guitarist, lead singer, and songwriter for the rock band Dire Straits, which he co-founded with his younger brother, David Knopfler, in 1977. He was born in Glasgow but raised near Newcastle upon Tyne, England.

Since Dire Straits disbanded in 1995, Knopfler has recorded and produced nine solo albums and, as with his previous band, produced many hit songs. <a href=""https://www.last.fm/music/Mark+Knopfler"">Read more on Last.fm</a>",United Kingdom
Cave Catt Sammy,3474,30762,"Hailing from San Antonio, TX since forming in high school in 1997, Cave Catt Sammy exhibit maturation and a darker lyrical content with their self penned material. They also conjure up learned covers by greats such as Jerry Reed (""Your Money Makes You Purty"") and Roy Orbison (""Cast Iron Arm"", originally recorded for Decca by Peanuts Wilson). No doubt their youthful enthusiasm has been tempered by 5 years of hard national touring and international festival appearances. <a href=""https://www.last.fm/music/Cave+Catt+Sammy"">Read more on Last.fm</a>",Unknown
Ana Popovic,77282,935105,"Ana Popović (born May 13, 1976, Belgrade, Serbia) is a blues guitarist, singer and songwriter. Ana has released 5 studio albums as a solo artist; Hush! (2000), Comfort To The Soul (2003), Still Making History (2007), Blind For Love (2009) and Unconditional (2011).

Ana Popović's father first introduced her to the blues, through an extensive record collection and sessions hosted at the family home. Popović founded her first serious band at age nineteen. <a href=""https://www.last.fm/music/Ana+Popovic"">Read more on Last.fm</a>",Unknown
Luther Johnson,37054,147370,"There is more than one artist called Luther Johnson.

1) Luther Johnson (April 11, 1939-) is a Chicago blues singer and guitarist, who performs under the name Luther ""Guitar Junior"" Johnson. He is not billed as simply ""Guitar Junior"".

He was born in Itta Bena, Mississippi, USA in 1939 and moved to Chicago with his family in 1955. During the 1960s, he performed with Magic Sam. Johnson performed in Muddy Water's band from 1972 to 1980. In 1980, four of his songs were included on an anthology by Alligator Records. <a href=""https://www.last.fm/music/Luther+Johnson"">Read more on Last.fm</a>",Unknown
C.C. Adcock,9848,79919,"C.C. Adcock (born Charles Clinton Adcock, c. 1971, Lafayette, Louisiana) is a rock and roll musician from noted for his cajun, zydeco, electric blues and swamp pop-influenced sound, and for his efforts to preserve and promote swamp pop music.

Adcock has recorded two solo albums, the self-titled C. C. Adcock (produced by Tarka Cordell), issued in 1994 on the Island label, and reissued in 2000 on the Evangeline label, under the title House Rocker; and Lafayette Marquis, issued in 2004 on the Yep Roc label. <a href=""https://www.last.fm/music/C.C.+Adcock"">Read more on Last.fm</a>",Unknown
Heaven & Earth,12350,113929,"There is more than one artist under the name Heaven & Earth.

One is a soul group from Chicago, Illinois, U.S.A. and released 4 LPs from 1976 to 1981.

>>
A vocal quartet that originally went by the name the Soul Majestics, and consisted of brothers Dwight Dukes (falsetto/lead tenor) and James Dukes (bass), Keith Steward (tenor) and Michael Brown (baritone). Under the direction of producer Clarence Johnson, they recorded four albums as Heaven Earth: one for General Entertainment Corporation (GEC), three for Mercury (Phonogram) and one for WMOT. <a href=""https://www.last.fm/music/Heaven+&+Earth"">Read more on Last.fm</a>",Unknown
Elmore James,437576,3468039,"Elmore James (Elmore Brooks, Richland, Mississippi, 27th January 1918 – Chicago, Illinois, 24th May 1963) was an American blues singer and guitarist. He was known as ""The King of the Slide Guitar"".

James was born  fifty miles north of Jackson (not to be confused with another Richland just south of Jackson). He began playing as a teen, under the names ""Cleanhead"" and ""Joe Willie James"", alongside musicians such as the first Sonny Boy Williamson, Howlin' Wolf, and Robert Johnson. <a href=""https://www.last.fm/music/Elmore+James"">Read more on Last.fm</a>",United States
Rob Tognoni,11524,117756,"Rob Tognoni and his guitar have been treading the stages worldwide for the past 35 years.
He has opened for the greats - Roy Buchanan, Stevie Ray Vaughan's mentor Lonnie Mack, Joe Walsh from the Eagles, shared stages with Peter Green, Sting, ZZ Top, Bo Diddley. He has represented Australia at the Royal Wedding celebrations of Prince Frederik & Princess Mary of Denmark, performed for FIFA World Cup Football in Kaiserslautern, played from maximum security <a href=""https://www.last.fm/music/Rob+Tognoni"">Read more on Last.fm</a>",Unknown
Coen Wolters Band,3304,22180,"Since the release of the band’s latest album ""As The Crow Flies"" (2006) everything changed for the band. Coen's long history of self released CD's and continual live performances, cumulating in the release of his debut ""Broken Glass"" (2005) CD on Cryingtone Records, established him as an up and coming blues slinger with an original twist of his own.
The ""live band"" sound of ""as The Crow Flies"", coupled with the tours at major festivals that following year <a href=""https://www.last.fm/music/Coen+Wolters+Band"">Read more on Last.fm</a>",Unknown
Coco Montoya,81422,729422,"Coco Montoya (b. 1951 in Santa Monica, CA) is a blues guitarist and former member of John Mayall & The Bluesbreakers.

Montoya's career began in the mid-70's when Albert Collins asked him to join his band as drummer. Collins took Montoya under his wing and taught him his ""icy hot"" guitar style. The two remained friends even after Montoya left Collins' band.

In the early 80's John Mayall heard Montoya playing guitar in a Los Angles bar. Soon after Mayall asked Montoya to join the newly reformed Bluesbreakers. <a href=""https://www.last.fm/music/Coco+Montoya"">Read more on Last.fm</a>",Unknown
Calvin Russell,42153,467434,"Russell was born in Austin, Texas, on 1 November 1948. At age 12, Russell began learning guitar and at 13 joined a band called The Cavemen. In 1989, he met Patrick Mathe of the French record label, New Rose Records, while at a party in Austin and gave him a demo tape intended for noted Austin guitarist and producer, Charlie Sexton. 

He would go on to sign with the label releasing his first solo album in 1990 entitled A Crack In Time. In promotion of the album <a href=""https://www.last.fm/music/Calvin+Russell"">Read more on Last.fm</a>",France
Lucille Bogan,50340,211828,"Lucille Bogan (April 1, 1897 - August 10, 1948) was an American blues singer, among the first to be recorded. She also recorded under the pseudonym Bessie Jackson. Bogan sang straight-talking blues about drinking (""Sloppy Drunk Blues""), prostitution (""Tricks Ain't Walking No More""), gambling, lesbianism and other facets of what her generation called 'the life'. The jazz critic and sexologist Ernest Borneman grouped her with Ma Rainey and Bessie Smith in the ""the big three of the blues"". <a href=""https://www.last.fm/music/Lucille+Bogan"">Read more on Last.fm</a>",United States
Keith Urban,1092154,19990383,"Keith Lionel Urban (born 26 October 1967) is a New Zealand-born country music singer, songwriter and guitarist whose commercial success has been mainly in the United States and Australia. Originally the front man for The Ranch, a three-piece group that released one album in 1997 to critical acclaim, Urban disbanded the group to pursue a solo career.  In 2004 his album ""Be Here"" was nominated for best country album at the Grammy Awards and at the Academy of Country Music Awards. <a href=""https://www.last.fm/music/Keith+Urban"">Read more on Last.fm</a>",Unknown
Tommy Castro,73110,619059,"Tommy Castro (born April 15, 1955) is an American blues, R&B, and rock guitarist and singer. He has been recording since the mid-1990s. His music has taken him from local stages to national and international touring. His popularity was marked by his winning the 2008 Blues Music Award for Entertainer of the Year.[1]

According to The Chicago Sun-Times, Castro plays ""Memphis soul-drenched R&B…top-of-the-line blues.""[2] Tom Callahan of Blurt added, ""Castro has a soulful voice, searing guitar and is an excellent songwriter and vocalist. <a href=""https://www.last.fm/music/Tommy+Castro"">Read more on Last.fm</a>",United States
Kieran Kane,8700,86897,"Kieran Kane (born October 7, 1949 in Queens, New York) is an American country music artist, as well as the owner of Dead Reckoning Records, an independent record label.[1] Between 1986 and 1990, he and Jamie O'Hara comprised The O'Kanes, In 1993, Kieran returned to his career as a solo performer. He signed to Atlantic Records that year, releasing the album Find My Way Home. Due to poor sales of this album, he was soon dropped from Atlantic's roster. <a href=""https://www.last.fm/music/Kieran+Kane"">Read more on Last.fm</a>",United States
Lead Belly,203863,1950861,"Huddie Ledbetter (23 January 1888 - December 1949) was a leading American blues singer and guitarist. His songbook contained a large number of standard folk tunes, most adapted from previous sources.

Though many of his posthumous releases list him as ""Leadbelly,"" he himself spelled it ""Lead Belly."" This is also the usage on most of his original records, tombstone, as well as of the Lead Belly Foundation.

Lead Belly was born in Mooringsport, Louisiana, and spent time in and out of prison most of his life. <a href=""https://www.last.fm/music/+noredirect/Lead+Belly"">Read more on Last.fm</a>",United States
The Robert Cray Band,73070,650389,"Robert Cray is an American blues guitarist, composer and singer.
With bassist Richard Cousins, keyboardist Peter Boe and drummer Tom Murphy, they launched The Robert Cray Band in 1980 with ""Who's Been Talkin"". The album was recorded during constant touring in the U.S. in 1978. The record was initially shelved for two years, being eventually issued by the short-lived Tomato label (whose licence was picked up by ""Atlantic Records"" (U.S.) and ""Charly"" in the UK. <a href=""https://www.last.fm/music/The+Robert+Cray+Band"">Read more on Last.fm</a>",United States
The Hoodoo Kings,674,2204,"In bringing together elder bluesmen Eddie Bo (died in 2009), Raful Neal (died in 2004) and Rockin’ Tabby Thomas (died in 2014) with a band of younger cohorts, The Hoodoo Kings captured the simmering essence of Louisiana. Hoodoo Kings was produced in 2001 by Randy Labbe, and their backing band consisted of guitarists Greg Hoover and Denny Breau, bassist Dan Corbett, drummer Darren Thiboutot and backup vocalist Kelly Jones. On their Telarc release <a href=""https://www.last.fm/music/The+Hoodoo+Kings"">Read more on Last.fm</a>",Unknown
Byther Smith,36927,213256,"Byther Smith is a true Living Legend of the Chicago blues scene and during his long lasting career he worked with the greatest of the Chicago blues artists like Muddy Waters, Howlin' Wolf, Jimmy Reed and Otis Rush.

Born in Monticello, Mississippi on April 17, 1933 young Byther Smith got his first musical experiences with gospel music, a music that he returned to at various stages of his career.

As a teenager Byther moved to Arizona, working on a cattle ranch and playing with a country & western band at weekends. <a href=""https://www.last.fm/music/Byther+Smith"">Read more on Last.fm</a>",Unknown
Status Quo,915370,12792073,"Status Quo is a British rock band (London, England)  founded by bassist Alan Lancaster and guitarist Francis Rossi in 1962.

They began as a rock and roll freakbeat band called The Spectres. By 1967, with very little commercial success, they discovered psychedelia and changed their name to Traffic (later Traffic Jam, to avoid confusion with Steve Winwood's Traffic.) At this time the line-up also included organist Roy Lynes and drummer John Coghlan. <a href=""https://www.last.fm/music/Status+Quo"">Read more on Last.fm</a>",United Kingdom
Junior Wells,184572,1390338,"Junior Wells (December 9, 1934 - January 15, 1998), born Amos Blakemore, was a blues vocalist and harmonica player based in Chicago who was famous for playing with Muddy Waters, Buddy Guy, Magic Sam, Lonnie Brooks, The Rolling Stones and Van Morrison.

He was born in Memphis, Tennessee, and raised in Arkansas. Wells moved to Chicago in 1948 and first made his mark at age 18 playing in Muddy Waters' band. He later worked with Buddy Guy in the 1960s and recorded for Delmark Records. <a href=""https://www.last.fm/music/Junior+Wells"">Read more on Last.fm</a>",Unknown
Lightnin' Hopkins,360414,3665641,"Samuel John ""Lightnin'"" Hopkins (March 15, 1912 – January 30, 1982) was an American country blues singer, songwriter, guitarist and occasional pianist, from Centerville, Texas. Rolling Stone magazine ranked him number 71 on its list of the 100 greatest guitarists of all time.

The musicologist Robert ""Mack"" McCormick opined that Hopkins is ""the embodiment of the jazz-and-poetry spirit, representing its ancient form in the single creator whose words and music are one act"". <a href=""https://www.last.fm/music/Lightnin%27+Hopkins"">Read more on Last.fm</a>",United States
Bonnie Raitt,788393,8628326,"Bonnie Raitt, (born November 8, 1949) is an American blues and R&B singer, songwriter, and guitarist who was born in Burbank, California, the daughter of Broadway musical star John Raitt.

Raitt began playing guitar at an early age, something not a lot of her high school girlfriends did. ""I had played a little at school and at camp,"" she later recalled in a July 2002 interview. ""My parents would drag me out to perform for my family, like all parents do, but it was a hobby—nothing more. <a href=""https://www.last.fm/music/Bonnie+Raitt"">Read more on Last.fm</a>",United States
Blues Company,21963,228244,"There are three similar bands with the same name.
1. Blues Company - Hungary's No.1 Motorcycle-Blues Band
2. Blues Company - Germany´s No.1 Blues Band
3. Istambul Blues Company (İstanbul Blues Kumpanyası) - Blues band from turkey

1.) A Blues company 1994-ben alakult magyar rockegyüttes, amely jellegzetes, blues alapú zenéjéről, és humoros, gyakran vulgáris hangvételű szövegeiről vált híressé. Gyakran lépnek fel motorostalálkozókon, fesztiválokon. <a href=""https://www.last.fm/music/Blues+Company"">Read more on Last.fm</a>",Unknown
Eddy Wilsons Blues Band,1024,3733,biografia no encontrada,Unknown
Shemekia Copeland,69058,507931,"Shemekia Copeland (b Harlem, New York City, 10 April 1979) is an American blues singer.

The daughter of blues guitarist and singer Johnny Copeland, she began to pursue a singing career in earnest at age 16, when her father's health began to decline; he took Shemekia on tour as his opening act, which helped establish her name on the blues circuit.

She landed a record deal with Alligator, which issued her debut album ""Turn the Heat Up!"" in 1998. The record was met with enthusiastic reviews <a href=""https://www.last.fm/music/Shemekia+Copeland"">Read more on Last.fm</a>",United States
The Nimmo Brothers,2955,44590,"For over a decade The Nimmo Brothers, from Glasgow, Scotland have proven themselves to be one of the most respected exponents of modern blues the UK has seen since the blues boom of the 1960’s. It is from this period, that brothers Stevie and Alan Nimmo first drew their influences, which makes them the fine musicians they are today. Inspired by such greats as Peter Green’s Fleetwood Mac and John Mayall’s Bluesbreakers they had no doubt that when the time came <a href=""https://www.last.fm/music/The+Nimmo+Brothers"">Read more on Last.fm</a>",Unknown
